run,task,score,True_Positive,True_Negative,False_Positive,False_Negative
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
1,1,0.8122764673778071,407,733,758,44
1,2,0.9222265639198866,358,860,944,8
2,1,0.9043322882253505,372,762,771,0
2,2,0.7725384565457258,337,673,818,97
3,1,0.9995692024532299,359,865,939,0
3,2,0.7070965259454706,283,632,808,96
4,1,0.9885256237888158,434,770,721,0
4,2,0.8288683661718493,365,831,908,18
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8736710739577753,402,681,657,25
0,2,0.9940830907213904,428,856,855,0
0,1,0.8648971365997996,725,614,390,130
0,2,0.9940996933297397,856,856,427,0
0,1,0.884113837049463,507,953,51,348
0,2,0.9995328923886044,642,1283,0,214
0,1,0.884113837049463,805,508,496,50
0,2,0.9995328923886044,856,642,641,0
0,1,0.884113837049463,507,953,51,348
0,2,0.9995328923886044,642,1283,0,214
0,1,0.884113837049463,507,953,51,348
0,2,0.9995328923886044,642,1283,0,214
0,1,0.8652857472112718,411,1038,133,230
0,2,0.998020964046473,631,1486,11,11
0,1,0.8652857472112718,411,1038,133,230
0,2,0.998020964046473,631,1486,11,11
0,1,0.8652857472112718,411,1038,133,230
0,2,0.998020964046473,631,1486,11,11
0,1,0.8652857472112718,411,1038,133,230
0,2,0.998020964046473,631,1486,11,11
0,1,0.8652857472112718,604,507,664,37
0,2,0.998020964046473,642,642,855,0
