task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
97.338,0.0,0.0,0,0,32.446,97.338,0.0
97.106,0.0,0.0,0,1,32.36866666666666,97.106,0.23199999999999932
96.728,0.0,0.0,0,2,32.242666666666665,96.728,0.6099999999999994
97.308,0.0,0.0,0,3,32.436,97.308,0.029999999999986926
97.826,0.0,0.0,0,4,32.608666666666664,97.826,-0.48799999999999955
97.828,0.0,0.0,0,5,32.60933333333333,97.828,-0.0020000000000095497
97.312,0.0,0.0,0,6,32.437333333333335,97.312,0.5160000000000053
97.45400000000001,0.0,0.0,0,7,32.48466666666667,97.45400000000001,0.3739999999999952
97.352,0.0,0.0,0,8,32.45066666666667,97.352,0.4759999999999991
97.414,0.0,0.0,0,9,32.471333333333334,97.414,0.4140000000000015
87.468,96.41999999999999,0.0,1,0,61.29599999999999,91.94399999999999,10.36
87.95,97.026,0.0,1,1,61.65866666666667,92.488,4.635999999999996
88.61800000000001,97.006,0.0,1,2,61.87466666666668,92.81200000000001,4.614999999999995
90.11800000000001,96.74600000000001,0.0,1,3,62.28800000000001,93.43200000000002,3.9949999999999903
90.286,97.006,0.0,1,4,62.43066666666667,93.646,3.780999999999999
90.76,97.21600000000001,0.0,1,5,62.65866666666667,93.988,3.438999999999993
92.35,97.69200000000001,0.0,1,6,63.34733333333333,95.021,2.5010000000000048
92.57000000000001,97.71799999999999,0.0,1,7,63.42933333333334,95.144,2.6160000000000068
92.812,97.8,0.0,1,8,63.53733333333333,95.306,2.4669999999999987
92.486,98.338,0.0,1,9,63.608000000000004,95.412,2.402000000000001
73.446,88.272,92.36,2,0,84.69266666666668,84.69266666666668,17.223999999999997
79.44,89.858,91.884,2,1,87.06066666666668,87.06066666666668,9.114666666666665
79.38,89.022,92.692,2,2,87.03133333333334,87.03133333333334,9.144
80.11600000000001,87.174,92.376,2,3,86.55533333333335,86.55533333333335,9.730666666666655
80.69399999999999,87.038,92.572,2,4,86.76799999999999,86.76799999999999,9.518
81.038,87.326,92.53999999999999,2,5,86.968,86.968,9.318000000000003
82.612,88.458,92.04400000000001,2,6,87.70466666666668,87.70466666666668,8.581333333333328
82.474,88.41,91.792,2,7,87.55866666666668,87.55866666666668,8.727333333333329
82.416,87.904,92.356,2,8,87.55866666666667,87.55866666666667,8.727333333333334
82.62,88.15799999999999,92.56800000000001,2,9,87.782,87.782,8.503999999999996
