task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
96.076,0.0,0.0,0,0,32.02533333333333,96.076,0.0
95.92999999999999,0.0,0.0,0,1,31.976666666666663,95.92999999999999,0.1460000000000008
97.488,0.0,0.0,0,2,32.496,97.488,-1.4120000000000061
97.616,0.0,0.0,0,3,32.538666666666664,97.616,-0.1280000000000001
97.992,0.0,0.0,0,4,32.664,97.992,-0.3760000000000048
94.24,95.368,0.0,1,0,63.202666666666666,94.804,3.7520000000000095
95.506,96.146,0.0,1,1,63.88399999999999,95.826,0.8539999999999992
95.872,97.308,0.0,1,2,64.39333333333333,96.59,0.4789999999999992
96.87,97.53,0.0,1,3,64.8,97.2,0.45000000000000284
97.182,97.59,0.0,1,4,64.92399999999999,97.386,0.375
85.92999999999999,91.328,90.648,2,0,89.30199999999998,89.30199999999998,9.162000000000006
78.88,89.47999999999999,92.494,2,1,86.95133333333332,86.95133333333332,8.458666666666673
79.02000000000001,87.408,91.146,2,2,85.858,85.858,10.167333333333332
76.53999999999999,88.704,92.394,2,3,85.87933333333332,85.87933333333332,10.146000000000006
78.888,89.458,92.574,2,4,86.97333333333334,86.97333333333334,9.052000000000001
