task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
96.076,0.0,0.0,0,0,32.02533333333333,96.076,0.0
97.15,0.0,0.0,0,1,32.38333333333333,97.15,-1.0740000000000123
98.03200000000001,0.0,0.0,0,2,32.67733333333334,98.03200000000001,-0.882000000000005
97.806,0.0,0.0,0,3,32.602,97.806,0.2260000000000133
97.95599999999999,0.0,0.0,0,4,32.651999999999994,97.95599999999999,0.07600000000002183
94.804,93.432,0.0,1,0,62.74533333333333,94.118,3.2280000000000086
95.226,97.146,0.0,1,1,64.12400000000001,96.186,-0.4539999999999935
96.5,97.034,0.0,1,2,64.51133333333333,96.767,0.8220000000000027
96.66,96.96000000000001,0.0,1,3,64.54,96.81,0.7790000000000035
96.576,97.088,0.0,1,4,64.55466666666666,96.832,0.7570000000000121
77.77799999999999,87.376,89.104,2,0,84.75266666666666,84.75266666666666,15.012000000000008
78.272,86.884,91.672,2,1,85.60933333333332,85.60933333333332,9.151333333333335
79.026,87.196,91.806,2,2,86.00933333333332,86.00933333333332,9.607333333333338
80.178,87.306,92.22200000000001,2,3,86.56866666666667,86.56866666666667,9.092666666666668
80.52000000000001,87.44,92.066,2,4,86.67533333333334,86.67533333333334,9.12466666666667
