task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
94.954,0.0,0.0,0,0,31.65133333333333,94.954,0.0
95.748,0.0,0.0,0,1,31.916,95.748,-0.7940000000000111
97.924,0.0,0.0,0,2,32.641333333333336,97.924,-2.176000000000002
98.188,0.0,0.0,0,3,32.72933333333334,98.188,-0.2639999999999958
97.952,0.0,0.0,0,4,32.650666666666666,97.952,0.2360000000000042
95.064,93.1,0.0,1,0,62.72133333333333,94.082,3.1240000000000094
96.268,96.336,0.0,1,1,64.20133333333332,96.30199999999999,-0.6580000000000013
97.852,97.22,0.0,1,2,65.024,97.536,-0.2740000000000009
98.726,98.314,0.0,1,3,65.67999999999999,98.52,-0.8159999999999954
98.732,98.306,0.0,1,4,65.67933333333333,98.519,0.0009999999999976694
81.54,86.17999999999999,90.49,2,0,86.07,86.07,14.662999999999997
82.328,87.672,91.102,2,1,87.03399999999999,87.03399999999999,8.811333333333328
85.072,88.444,92.144,2,2,88.55333333333334,88.55333333333334,7.495999999999995
80.38,88.712,93.314,2,3,87.46866666666665,87.46866666666665,8.928000000000003
77.162,88.374,93.59400000000001,2,4,86.37666666666667,86.37666666666667,10.409999999999991
