task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
82.478,0.0,0.0,0,0,27.492666666666665,82.478,0.0
82.152,0.0,0.0,0,1,27.384,82.152,0.3259999999999934
83.72200000000001,0.0,0.0,0,2,27.907333333333337,83.72200000000001,-1.244000000000014
92.898,0.0,0.0,0,3,30.965999999999998,92.898,-9.175999999999988
94.606,0.0,0.0,0,4,31.53533333333333,94.606,-1.7079999999999984
89.99199999999999,70.248,0.0,1,0,53.413333333333334,80.12,4.614000000000004
90.24600000000001,88.89,0.0,1,1,59.71200000000001,89.56800000000001,-7.141000000000005
90.342,92.148,0.0,1,2,60.830000000000005,91.245,0.5030000000000001
90.772,92.752,0.0,1,3,61.17466666666667,91.762,1.6149999999999949
92.438,94.61800000000001,0.0,1,4,62.352000000000004,93.528,0.15099999999998914
63.234,82.31,72.682,2,0,72.742,72.742,21.84
65.624,80.23400000000001,86.562,2,1,77.47333333333334,77.47333333333334,9.828666666666669
64.806,81.664,88.13199999999999,2,2,78.20066666666666,78.20066666666666,13.728000000000003
65.646,82.922,89.202,2,3,79.25666666666666,79.25666666666666,13.195333333333332
66.19200000000001,82.34200000000001,89.376,2,4,79.30333333333334,79.30333333333334,13.505333333333326
