task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
93.83714285714287,0.0,0.0,0,0,31.27904761904762,93.83714285714287,0.0
94.62,0.0,0.0,0,1,31.540000000000003,94.62,-0.7828571428571394
97.35000000000001,0.0,0.0,0,2,32.45,97.35000000000001,-2.730000000000004
97.76714285714286,0.0,0.0,0,3,32.58904761904762,97.76714285714286,-0.41714285714284927
97.46285714285715,0.0,0.0,0,4,32.48761904761905,97.46285714285715,0.3042857142857116
95.89571428571428,85.81714285714285,0.0,1,0,60.57095238095238,90.85642857142857,1.8714285714285808
95.99285714285715,95.50142857142858,0.0,1,1,63.831428571428575,95.74714285714286,-3.9550000000000054
95.93999999999998,97.70428571428572,0.0,1,2,64.54809523809523,96.82214285714285,-0.1878571428571334
96.85714285714286,97.86571428571429,0.0,1,3,64.90761904761905,97.36142857142858,0.3742857142857119
97.13333333333333,97.61,0.0,1,4,64.91444444444444,97.37166666666667,0.44476190476191135
81.55,87.39333333333333,87.62333333333333,2,0,85.52222222222223,85.52222222222223,13.34476190476191
81.41833333333334,88.58833333333332,91.22500000000001,2,1,87.07722222222223,87.07722222222223,7.341507936507938
84.56833333333333,89.83166666666666,91.09166666666665,2,2,88.4972222222222,88.4972222222222,7.1220634920635035
85.38499999999999,89.96333333333332,91.63499999999999,2,3,88.99444444444443,88.99444444444443,6.6248412698412835
85.85333333333334,89.77,90.82166666666666,2,4,88.815,88.815,6.940952380952382
