task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
82.478,0.0,0.0,0,0,27.492666666666665,82.478,0.0
82.49199999999999,0.0,0.0,0,1,27.49733333333333,82.49199999999999,-0.013999999999995794
84.34200000000001,0.0,0.0,0,2,28.114000000000004,84.34200000000001,-1.8500000000000227
84.88,0.0,0.0,0,3,28.293333333333333,84.88,-0.5379999999999825
85.828,0.0,0.0,0,4,28.609333333333336,85.828,-0.9480000000000075
89.84,77.756,0.0,1,0,55.86533333333333,83.798,-4.0120000000000005
87.866,90.014,0.0,1,1,59.29333333333333,88.94,-5.141999999999996
90.088,91.914,0.0,1,2,60.66733333333334,91.001,-1.073999999999998
90.688,92.416,0.0,1,3,61.03466666666666,91.55199999999999,-0.5510000000000019
90.986,93.588,0.0,1,4,61.52466666666667,92.287,-0.7349999999999994
80.346,82.024,81.99199999999999,2,0,81.454,81.454,11.101999999999997
69.10799999999999,81.856,88.03,2,1,79.66466666666666,79.66466666666666,9.190666666666667
66.94800000000001,83.87,90.38399999999999,2,2,80.40066666666667,80.40066666666667,10.467333333333334
67.31,84.606,89.78999999999999,2,3,80.56866666666666,80.56866666666666,11.083999999999998
70.89200000000001,84.34400000000001,89.966,2,4,81.734,81.734,9.918666666666658
