task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
78.874,0.0,0.0,0,0,26.29133333333333,78.874,0.0
92.51,0.0,0.0,0,1,30.83666666666667,92.51,-13.63600000000001
95.54400000000001,0.0,0.0,0,2,31.848000000000003,95.54400000000001,-3.034000000000006
96.582,0.0,0.0,0,3,32.193999999999996,96.582,-1.0379999999999825
96.372,0.0,0.0,0,4,32.124,96.372,0.20999999999999375
78.15599999999999,87.17999999999999,0.0,1,0,55.111999999999995,82.66799999999999,18.426000000000002
80.55799999999999,94.81,0.0,1,1,58.455999999999996,87.684,4.196999999999996
79.946,95.342,0.0,1,2,58.42933333333334,87.644,8.052
74.836,96.712,0.0,1,3,57.18266666666667,85.774,10.187999999999995
77.838,97.088,0.0,1,4,58.30866666666666,87.463,9.184000000000005
52.727999999999994,80.81,86.69399999999999,2,0,73.41066666666667,73.41066666666667,30.065999999999995
52.734,82.22999999999999,89.72,2,1,74.89466666666667,74.89466666666667,18.559999999999995
56.55,85.51599999999999,91.05799999999999,2,2,77.70799999999998,77.70799999999998,16.755333333333336
68.088,83.728,92.066,2,3,81.294,81.294,13.61533333333333
63.624,81.986,92.542,2,4,79.384,79.384,15.861333333333327
