task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.774,0.0,0.0,0,0,24.258,72.774,0.0
82.518,0.0,0.0,0,1,27.506,82.518,-9.744
91.538,0.0,0.0,0,2,30.512666666666664,91.538,-9.019999999999996
92.446,0.0,0.0,0,3,30.81533333333333,92.446,-0.9080000000000013
94.288,0.0,0.0,0,4,31.429333333333332,94.288,-1.8419999999999987
82.24,77.33399999999999,0.0,1,0,53.191333333333326,79.78699999999999,12.048000000000002
67.946,95.01,0.0,1,1,54.31866666666667,81.47800000000001,4.332999999999991
65.64,95.872,0.0,1,2,53.83733333333333,80.756,13.893
65.462,96.13199999999999,0.0,1,3,53.864666666666665,80.797,14.283000000000001
66.11800000000001,96.468,0.0,1,4,54.19533333333334,81.293,13.916999999999987
49.064,81.31800000000001,80.378,2,0,70.25333333333333,70.25333333333333,30.186999999999994
47.763999999999996,78.44800000000001,89.09400000000001,2,1,71.76866666666668,71.76866666666668,18.60933333333333
46.95,82.33,89.214,2,2,72.83133333333333,72.83133333333333,20.452
48.339999999999996,81.49600000000001,90.26,2,3,73.36533333333334,73.36533333333334,19.957999999999995
47.624,80.214,90.328,2,4,72.722,72.722,20.95
