task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
82.478,0.0,0.0,0,0,27.492666666666665,82.478,0.0
82.49199999999999,0.0,0.0,0,1,27.49733333333333,82.49199999999999,-0.013999999999995794
84.34200000000001,0.0,0.0,0,2,28.114000000000004,84.34200000000001,-1.8500000000000227
84.88,0.0,0.0,0,3,28.293333333333333,84.88,-0.5379999999999825
85.828,0.0,0.0,0,4,28.609333333333336,85.828,-0.9480000000000075
82.25399999999999,83.53599999999999,0.0,1,0,55.26333333333332,82.89499999999998,3.5740000000000123
86.388,90.816,0.0,1,1,59.068000000000005,88.602,-3.920000000000009
89.63,92.62,0.0,1,2,60.75,91.125,-2.522999999999996
89.21000000000001,93.26,0.0,1,3,60.823333333333345,91.23500000000001,-0.11000000000000654
90.14,93.85600000000001,0.0,1,4,61.332,91.998,-0.5530000000000044
64.25800000000001,78.61999999999999,80.966,2,0,74.61466666666666,74.61466666666666,20.559000000000005
54.827999999999996,81.35799999999999,91.142,2,1,75.776,75.776,12.544666666666673
53.672000000000004,81.102,91.398,2,2,75.39066666666666,75.39066666666666,16.322
53.444,81.122,91.752,2,3,75.43933333333332,75.43933333333332,16.358666666666668
54.81,81.186,91.012,2,4,75.66933333333334,75.66933333333334,16.246666666666666
