task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
96.376,0.0,0.0,0,0,32.12533333333334,96.376,0.0
96.974,0.0,0.0,0,1,32.324666666666666,96.974,-0.597999999999999
97.24,0.0,0.0,0,2,32.413333333333334,97.24,-0.26599999999999113
97.586,0.0,0.0,0,3,32.528666666666666,97.586,-0.34600000000000364
98.252,0.0,0.0,0,4,32.75066666666667,98.252,-0.6659999999999968
94.148,95.2,0.0,1,0,63.11600000000001,94.674,4.103999999999999
98.032,97.046,0.0,1,1,65.026,97.539,-0.8130000000000024
98.45,97.498,0.0,1,2,65.316,97.974,-0.32500000000000284
98.49199999999999,98.178,0.0,1,3,65.55666666666666,98.335,-0.36099999999999
98.614,98.12,0.0,1,4,65.578,98.367,-0.03200000000001069
86.566,88.91799999999999,83.52799999999999,2,0,86.33733333333332,86.33733333333332,10.654000000000003
77.71600000000001,87.502,91.814,2,1,85.67733333333335,85.67733333333335,7.762666666666665
75.486,87.096,92.462,2,2,85.01466666666666,85.01466666666666,11.187333333333328
80.102,88.398,92.322,2,3,86.94066666666667,86.94066666666667,9.477333333333334
82.662,88.886,92.29400000000001,2,4,87.94733333333333,87.94733333333333,8.470666666666665
