task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
78.874,0.0,0.0,0,0,26.29133333333333,78.874,0.0
92.518,0.0,0.0,0,1,30.839333333333332,92.518,-13.644000000000005
95.306,0.0,0.0,0,2,31.768666666666665,95.306,-2.7879999999999967
96.224,0.0,0.0,0,3,32.074666666666666,96.224,-0.9180000000000064
96.27000000000001,0.0,0.0,0,4,32.09,96.27000000000001,-0.04600000000000648
86.712,87.526,0.0,1,0,58.07933333333333,87.119,9.558000000000007
81.762,94.9,0.0,1,1,58.88733333333334,88.331,3.567
72.212,95.848,0.0,1,2,56.02,84.03,11.555000000000007
74.876,95.65599999999999,0.0,1,3,56.843999999999994,85.26599999999999,10.793000000000006
75.942,96.614,0.0,1,4,57.51866666666666,86.27799999999999,9.781000000000006
49.676,79.606,87.24600000000001,2,0,72.176,72.176,31.80100000000001
64.33,86.17,90.666,2,1,80.38866666666667,80.38866666666667,12.988000000000008
68.078,83.744,92.89399999999999,2,2,81.572,81.572,12.944666666666672
66.878,84.38,92.908,2,3,81.38866666666667,81.38866666666667,13.87066666666667
66.606,84.39200000000001,92.928,2,4,81.30866666666667,81.30866666666667,13.955333333333337
