task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
84.214,0.0,0.0,0,0,28.07133333333333,84.214,0.0
92.228,0.0,0.0,0,1,30.742666666666665,92.228,-8.013999999999996
94.716,0.0,0.0,0,2,31.572,94.716,-2.4879999999999995
95.168,0.0,0.0,0,3,31.72266666666667,95.168,-0.4520000000000124
95.346,0.0,0.0,0,4,31.782,95.346,-0.17799999999999727
90.152,89.75,0.0,1,0,59.96733333333333,89.951,5.194000000000003
95.24600000000001,94.15,0.0,1,1,63.132000000000005,94.69800000000001,-2.1500000000000057
94.15599999999999,95.02799999999999,0.0,1,2,63.06133333333332,94.59199999999998,0.15600000000001302
95.064,94.944,0.0,1,3,63.33599999999999,95.00399999999999,0.18299999999999983
96.03999999999999,95.1,0.0,1,4,63.71333333333333,95.57,-0.38299999999999557
78.78999999999999,84.676,74.95599999999999,2,0,79.474,79.474,13.836999999999996
62.294,80.24199999999999,87.984,2,1,76.83999999999999,76.83999999999999,11.858666666666664
59.79200000000001,78.042,89.888,2,2,75.90733333333334,75.90733333333334,17.13399999999999
60.376,78.046,90.112,2,3,76.178,76.178,17.497999999999998
60.016,78.44,90.02799999999999,2,4,76.16133333333333,76.16133333333333,17.589333333333332
