task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
97.338,0.0,0.0,0,0,32.446,97.338,0.0
98.024,0.0,0.0,0,1,32.67466666666667,98.024,-0.686000000000007
97.922,0.0,0.0,0,2,32.64066666666667,97.922,0.10200000000000387
96.852,0.0,0.0,0,3,32.284,96.852,1.171999999999997
96.804,0.0,0.0,0,4,32.268,96.804,1.2199999999999989
96.27799999999999,0.0,0.0,0,5,32.092666666666666,96.27799999999999,1.7460000000000093
95.38399999999999,0.0,0.0,0,6,31.79466666666666,95.38399999999999,2.640000000000015
94.562,0.0,0.0,0,7,31.520666666666667,94.562,3.4620000000000033
96.16,0.0,0.0,0,8,32.053333333333335,96.16,1.8640000000000043
97.566,0.0,0.0,0,9,32.522,97.566,0.4579999999999984
91.594,96.24,0.0,1,0,62.611333333333334,93.917,6.430000000000007
94.184,99.09,0.0,1,1,64.42466666666667,96.637,0.49499999999999744
91.84,99.276,0.0,1,2,63.70533333333333,95.55799999999999,2.9990000000000023
91.3,98.902,0.0,1,3,63.400666666666666,95.101,3.5489999999999995
90.262,98.902,0.0,1,4,63.05466666666666,94.582,4.067999999999998
89.08,98.80199999999999,0.0,1,5,62.62733333333333,93.941,4.709000000000003
87.52000000000001,98.72200000000001,0.0,1,6,62.08066666666667,93.12100000000001,5.528999999999989
86.586,98.66,0.0,1,7,61.74866666666666,92.62299999999999,6.027000000000001
85.786,98.618,0.0,1,8,61.467999999999996,92.202,6.448
84.854,98.51599999999999,0.0,1,9,61.123333333333335,91.685,6.965000000000003
82.816,85.05799999999999,90.622,2,0,86.16533333333332,86.16533333333332,14.713000000000001
74.506,88.578,92.98400000000001,2,1,85.356,85.356,10.617999999999995
78.25399999999999,88.77,92.974,2,2,86.666,86.666,10.095333333333338
78.414,88.324,93.60799999999999,2,3,86.782,86.782,9.979333333333338
77.3,88.378,93.45,2,4,86.37599999999999,86.37599999999999,10.593333333333328
78.106,85.434,93.114,2,5,85.55133333333333,85.55133333333333,11.417999999999997
78.53999999999999,85.77799999999999,92.85,2,6,85.72266666666667,85.72266666666667,11.24666666666667
78.87,86.216,92.81,2,7,85.96533333333333,85.96533333333333,11.003999999999996
79.126,86.664,92.786,2,8,86.19200000000001,86.19200000000001,10.777333333333326
79.272,87.43,92.72,2,9,86.474,86.474,10.495333333333326
