task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
78.874,0.0,0.0,0,0,26.29133333333333,78.874,0.0
78.524,0.0,0.0,0,1,26.174666666666667,78.524,0.3499999999999943
78.146,0.0,0.0,0,2,26.048666666666666,78.146,0.7279999999999944
81.44800000000001,0.0,0.0,0,3,27.149333333333335,81.44800000000001,-2.5740000000000123
83.82000000000001,0.0,0.0,0,4,27.94,83.82000000000001,-2.372
71.14,90.152,0.0,1,0,53.764,80.646,12.680000000000007
56.51800000000001,93.28200000000001,0.0,1,1,49.93333333333334,74.9,12.085999999999995
69.748,94.77799999999999,0.0,1,2,54.842000000000006,82.263,6.288000000000011
72.766,96.95,0.0,1,3,56.572,84.858,4.440999999999995
79.694,96.65,0.0,1,4,58.78133333333333,88.172,2.213000000000001
60.525999999999996,83.476,83.036,2,0,75.67933333333333,75.67933333333333,18.384000000000007
62.864,85.652,87.01599999999999,2,1,78.51066666666667,78.51066666666667,9.424666666666674
64.742,85.076,87.468,2,2,79.09533333333333,79.09533333333333,10.166666666666666
65.97200000000001,83.936,87.09400000000001,2,3,79.00066666666667,79.00066666666667,10.411999999999997
63.339999999999996,82.66600000000001,88.412,2,4,78.13933333333334,78.13933333333334,11.273333333333333
