task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
97.338,0.0,0.0,0,0,32.446,97.338,0.0
98.024,0.0,0.0,0,1,32.67466666666667,98.024,-0.686000000000007
97.922,0.0,0.0,0,2,32.64066666666667,97.922,0.10200000000000387
96.852,0.0,0.0,0,3,32.284,96.852,1.171999999999997
96.824,0.0,0.0,0,4,32.27466666666667,96.824,1.2000000000000028
96.27799999999999,0.0,0.0,0,5,32.092666666666666,96.27799999999999,1.7460000000000093
95.404,0.0,0.0,0,6,31.801333333333332,95.404,2.6200000000000045
94.708,0.0,0.0,0,7,31.569333333333333,94.708,3.3160000000000025
94.412,0.0,0.0,0,8,31.47066666666667,94.412,3.6119999999999948
97.272,0.0,0.0,0,9,32.424,97.272,0.7519999999999953
92.166,95.696,0.0,1,0,62.620666666666665,93.931,5.858000000000004
90.346,97.67,0.0,1,1,62.672000000000004,94.00800000000001,2.8519999999999968
92.418,98.246,0.0,1,2,63.55466666666666,95.332,2.5150000000000006
91.49600000000001,97.88,0.0,1,3,63.12533333333334,94.688,3.4469999999999956
90.428,98.00399999999999,0.0,1,4,62.81066666666666,94.216,3.919000000000004
89.742,97.92,0.0,1,5,62.554,93.831,4.303999999999995
88.386,97.78399999999999,0.0,1,6,62.056666666666665,93.085,5.050000000000004
87.512,97.78399999999999,0.0,1,7,61.76533333333333,92.648,5.487000000000002
86.654,97.704,0.0,1,8,61.452666666666666,92.179,5.956000000000003
85.944,97.642,0.0,1,9,61.19533333333334,91.793,6.341999999999999
73.266,89.75399999999999,91.09400000000001,2,0,84.70466666666665,84.70466666666665,16.625
69.322,86.754,93.64200000000001,2,1,83.23933333333333,83.23933333333333,12.548666666666662
69.34400000000001,87.09,93.52000000000001,2,2,83.31800000000001,83.31800000000001,13.319333333333327
69.964,87.09,93.768,2,3,83.60733333333333,83.60733333333333,13.030000000000001
71.372,87.06,93.998,2,4,84.14333333333333,84.14333333333333,12.535999999999996
73.03399999999999,87.482,93.72,2,5,84.74533333333333,84.74533333333333,12.01066666666667
74.676,87.714,93.554,2,6,85.31466666666667,85.31466666666667,11.441333333333333
75.79,87.944,93.562,2,7,85.76533333333333,85.76533333333333,10.990666666666664
76.568,87.978,93.654,2,8,86.06666666666666,86.06666666666666,10.689333333333337
77.51599999999999,88.24,93.514,2,9,86.42333333333333,86.42333333333333,10.332666666666674
