task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
78.874,0.0,0.0,0,0,26.29133333333333,78.874,0.0
78.524,0.0,0.0,0,1,26.174666666666667,78.524,0.3499999999999943
78.146,0.0,0.0,0,2,26.048666666666666,78.146,0.7279999999999944
81.44800000000001,0.0,0.0,0,3,27.149333333333335,81.44800000000001,-2.5740000000000123
83.82000000000001,0.0,0.0,0,4,27.94,83.82000000000001,-2.372
71.178,90.086,0.0,1,0,53.75466666666667,80.632,12.64200000000001
52.855999999999995,93.682,0.0,1,1,48.846000000000004,73.269,13.684000000000005
63.496,95.464,0.0,1,2,52.98666666666667,79.48,9.271000000000004
64.798,95.452,0.0,1,3,53.416666666666664,80.125,9.517000000000003
69.082,95.762,0.0,1,4,54.948,82.422,7.220000000000006
53.510000000000005,82.684,85.364,2,0,73.85266666666668,73.85266666666668,21.694000000000003
54.212,82.644,88.066,2,1,74.974,74.974,13.341333333333333
50.422,84.846,91.524,2,2,75.59733333333334,75.59733333333334,13.61866666666667
56.576,84.782,91.036,2,3,77.46466666666667,77.46466666666667,12.904000000000003
57.15599999999999,84.08200000000001,91.564,2,4,77.60066666666667,77.60066666666667,12.768000000000006
