task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
78.874,0.0,0.0,0,0,26.29133333333333,78.874,0.0
78.524,0.0,0.0,0,1,26.174666666666667,78.524,0.3499999999999943
78.146,0.0,0.0,0,2,26.048666666666666,78.146,0.7279999999999944
81.44800000000001,0.0,0.0,0,3,27.149333333333335,81.44800000000001,-2.5740000000000123
83.82000000000001,0.0,0.0,0,4,27.94,83.82000000000001,-2.372
71.178,90.066,0.0,1,0,53.748,80.622,12.64200000000001
53.386,94.08,0.0,1,1,49.15533333333334,73.733,13.210000000000004
63.657999999999994,94.39200000000001,0.0,1,2,52.68333333333334,79.025,9.925
65.168,95.59400000000001,0.0,1,3,53.58733333333333,80.381,8.725000000000001
65.074,95.662,0.0,1,4,53.57866666666666,80.368,9.339000000000006
54.141999999999996,79.774,88.702,2,0,74.206,74.206,22.78300000000001
49.432,85.022,90.416,2,1,74.95666666666666,74.95666666666666,14.438000000000002
57.186,82.976,90.864,2,2,77.00866666666667,77.00866666666667,12.957333333333336
53.306,80.39000000000001,92.364,2,3,75.35333333333334,75.35333333333334,14.762
53.114,79.67,92.796,2,4,75.19333333333333,75.19333333333333,15.422000000000004
