run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.11,0.0,0.0,0.0
0,0,1,95.25,0.0,0.0,0.0
0,0,2,95.47,0.0,0.0,0.0
0,1,0,81.13,93.89,0.0,0.0
0,1,1,81.79,96.83,0.0,0.0
0,1,2,87.75,98.42,0.0,0.0
0,2,0,70.31,92.42,62.47,0.0
0,2,1,63.91,51.92,89.12,0.0
0,2,2,77.59,49.43,93.08,0.0
0,3,0,47.35,44.57,85.49,87.91
0,3,1,73.18,50.23,69.95,90.33
0,3,2,72.85,50.23,71.43,92.42
1,0,0,92.24,0.0,0.0,0.0
1,0,1,98.54,0.0,0.0,0.0
1,0,2,99.55,0.0,0.0,0.0
1,1,0,90.21,84.69,0.0,0.0
1,1,1,84.03,90.14,0.0,0.0
1,1,2,86.28,92.4,0.0,0.0
1,2,0,79.75,70.52,86.44,0.0
1,2,1,79.42,68.25,98.46,0.0
1,2,2,83.24,67.12,99.12,0.0
1,3,0,82.34,67.8,76.41,76.0
1,3,1,78.18,35.15,75.74,94.25
1,3,2,81.78,41.95,85.78,91.81
2,0,0,83.57,0.0,0.0,0.0
2,0,1,91.9,0.0,0.0,0.0
2,0,2,98.0,0.0,0.0,0.0
2,1,0,87.13,61.63,0.0,0.0
2,1,1,90.01,75.4,0.0,0.0
2,1,2,67.37,93.34,0.0,0.0
2,2,0,76.8,36.91,91.41,0.0
2,2,1,76.36,31.94,96.16,0.0
2,2,2,78.25,57.34,98.31,0.0
2,3,0,49.94,43.45,75.59,70.44
2,3,1,43.95,44.13,77.51,83.96
2,3,2,49.28,52.26,77.06,84.73
3,0,0,71.67,0.0,0.0,0.0
3,0,1,90.63,0.0,0.0,0.0
3,0,2,91.99,0.0,0.0,0.0
3,1,0,74.6,69.35,0.0,0.0
3,1,1,73.81,98.02,0.0,0.0
3,1,2,80.14,99.67,0.0,0.0
3,2,0,72.01,88.2,73.62,0.0
3,2,1,69.64,86.88,85.34,0.0
3,2,2,70.2,72.44,90.64,0.0
3,3,0,61.85,10.47,56.71,92.02
3,3,1,65.46,42.56,53.33,96.67
3,3,2,70.09,49.17,66.18,93.13
4,0,0,90.78,0.0,0.0,0.0
4,0,1,94.83,0.0,0.0,0.0
4,0,2,99.78,0.0,0.0,0.0
4,1,0,95.39,89.89,0.0,0.0
4,1,1,85.15,96.04,0.0,0.0
4,1,2,95.05,97.36,0.0,0.0
4,2,0,89.88,46.04,78.85,0.0
4,2,1,83.35,46.26,85.6,0.0
4,2,2,65.47,15.38,90.37,0.0
4,3,0,83.46,39.01,59.14,86.36
4,3,1,81.21,41.43,71.76,97.05
4,3,2,81.89,40.22,60.8,98.98
