run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.11,0.0,0.0,0.0
0,0,1,95.25,0.0,0.0,0.0
0,0,2,95.47,0.0,0.0,0.0
0,1,0,81.46,96.83,0.0,0.0
0,1,1,83.44,96.27,0.0,0.0
0,1,2,82.23,99.66,0.0,0.0
0,2,0,69.43,74.1,86.85,0.0
0,2,1,71.74,81.56,84.92,0.0
0,2,2,68.43,85.97,85.6,0.0
0,3,0,71.74,92.53,43.54,85.49
0,3,1,78.15,81.33,66.67,89.56
0,3,2,80.24,92.99,67.35,90.77
1,0,0,92.24,0.0,0.0,0.0
1,0,1,98.54,0.0,0.0,0.0
1,0,2,99.55,0.0,0.0,0.0
1,1,0,91.11,86.62,0.0,0.0
1,1,1,93.81,83.22,0.0,0.0
1,1,2,95.16,85.49,0.0,0.0
1,2,0,88.3,74.49,92.39,0.0
1,2,1,88.53,83.79,98.46,0.0
1,2,2,90.1,82.77,99.56,0.0
1,3,0,91.11,60.2,95.81,70.35
1,3,1,93.36,47.51,93.94,90.38
1,3,2,85.71,28.8,68.8,96.68
2,0,0,83.57,0.0,0.0,0.0
2,0,1,91.9,0.0,0.0,0.0
2,0,2,98.0,0.0,0.0,0.0
2,1,0,86.13,75.06,0.0,0.0
2,1,1,87.9,71.56,0.0,0.0
2,1,2,90.01,68.51,0.0,0.0
2,2,0,73.25,66.14,91.64,0.0
2,2,1,76.03,74.27,97.97,0.0
2,2,2,79.47,73.81,98.87,0.0
2,3,0,72.03,67.04,82.15,83.08
2,3,1,77.58,68.74,81.02,94.51
2,3,2,62.26,67.38,84.07,96.59
3,0,0,71.67,0.0,0.0,0.0
3,0,1,90.63,0.0,0.0,0.0
3,0,2,91.99,0.0,0.0,0.0
3,1,0,74.49,67.25,0.0,0.0
3,1,1,79.68,96.8,0.0,0.0
3,1,2,76.86,99.67,0.0,0.0
3,2,0,72.91,98.9,88.28,0.0
3,2,1,74.83,95.15,90.42,0.0
3,2,2,65.69,81.59,89.74,0.0
3,3,0,52.71,69.24,76.55,80.82
3,3,1,67.16,70.78,74.63,95.9
3,3,2,68.85,73.32,75.31,96.34
4,0,0,90.78,0.0,0.0,0.0
4,0,1,94.83,0.0,0.0,0.0
4,0,2,99.78,0.0,0.0,0.0
4,1,0,95.16,87.47,0.0,0.0
4,1,1,95.39,96.37,0.0,0.0
4,1,2,94.71,96.92,0.0,0.0
4,2,0,91.9,95.05,78.63,0.0
4,2,1,91.9,95.16,78.41,0.0
4,2,2,93.59,72.86,82.17,0.0
4,3,0,89.31,76.81,74.09,88.98
4,3,1,89.31,68.02,67.66,98.07
4,3,2,91.68,71.54,72.2,98.07
