run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,89.29,0.0,0.0,0.0
0,0,1,99.12,0.0,0.0,0.0
0,0,2,97.24,0.0,0.0,0.0
0,1,0,84.66,97.51,0.0,0.0
0,1,1,85.54,98.42,0.0,0.0
0,1,2,63.69,99.32,0.0,0.0
0,2,0,46.47,82.58,64.63,0.0
0,2,1,57.73,81.33,91.5,0.0
0,2,2,57.06,82.35,91.84,0.0
0,3,0,38.85,44.68,78.68,67.25
0,3,1,50.33,60.97,51.36,74.95
0,3,2,42.94,56.67,63.04,97.58
1,0,0,79.64,0.0,0.0,0.0
1,0,1,99.66,0.0,0.0,0.0
1,0,2,99.78,0.0,0.0,0.0
1,1,0,92.35,76.08,0.0,0.0
1,1,1,79.75,89.0,0.0,0.0
1,1,2,85.49,93.88,0.0,0.0
1,2,0,50.73,50.45,99.67,0.0
1,2,1,48.26,59.18,99.89,0.0
1,2,2,46.34,67.35,99.89,0.0
1,3,0,42.52,67.12,80.49,85.84
1,3,1,44.32,33.11,68.25,96.02
1,3,2,30.26,33.79,79.49,98.12
2,0,0,83.13,0.0,0.0,0.0
2,0,1,95.56,0.0,0.0,0.0
2,0,2,98.22,0.0,0.0,0.0
2,1,0,71.81,75.73,0.0,0.0
2,1,1,46.39,84.54,0.0,0.0
2,1,2,59.71,90.52,0.0,0.0
2,2,0,39.73,72.46,92.88,0.0
2,2,1,45.84,67.27,96.84,0.0
2,2,2,44.28,65.35,98.76,0.0
2,3,0,39.51,50.68,63.95,79.78
2,3,1,41.51,38.6,79.44,92.53
2,3,2,41.84,40.63,60.11,98.24
3,0,0,65.35,0.0,0.0,0.0
3,0,1,71.22,0.0,0.0,0.0
3,0,2,72.35,0.0,0.0,0.0
3,1,0,32.96,94.6,0.0,0.0
3,1,1,13.77,99.56,0.0,0.0
3,1,2,38.04,99.89,0.0,0.0
3,2,0,57.67,88.97,70.35,0.0
3,2,1,47.18,89.75,87.82,0.0
3,2,2,55.19,88.31,92.9,0.0
3,3,0,25.17,48.73,53.89,75.5
3,3,1,40.18,37.38,53.21,93.35
3,3,2,46.28,49.17,62.91,96.45
4,0,0,91.23,0.0,0.0,0.0
4,0,1,98.99,0.0,0.0,0.0
4,0,2,99.78,0.0,0.0,0.0
4,1,0,96.4,95.16,0.0,0.0
4,1,1,96.4,95.27,0.0,0.0
4,1,2,78.74,97.91,0.0,0.0
4,2,0,59.84,39.01,63.57,0.0
4,2,1,55.12,33.63,71.32,0.0
4,2,2,55.57,31.43,70.32,0.0
4,3,0,70.19,40.66,19.71,82.5
4,3,1,63.1,34.95,19.27,98.98
4,3,2,53.99,39.45,32.0,99.09
