run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,89.29,0.0,0.0,0.0
0,0,1,99.12,0.0,0.0,0.0
0,0,2,97.24,0.0,0.0,0.0
0,1,0,74.39,97.85,0.0,0.0
0,1,1,62.58,98.64,0.0,0.0
0,1,2,68.98,99.55,0.0,0.0
0,2,0,64.79,87.56,74.04,0.0
0,2,1,48.79,48.08,89.57,0.0
0,2,2,61.04,91.18,92.4,0.0
0,3,0,31.02,64.14,83.33,73.74
0,3,1,82.67,91.29,64.4,95.16
0,3,2,67.77,88.01,71.43,98.13
1,0,0,79.64,0.0,0.0,0.0
1,0,1,99.66,0.0,0.0,0.0
1,0,2,99.78,0.0,0.0,0.0
1,1,0,94.49,84.69,0.0,0.0
1,1,1,93.81,93.99,0.0,0.0
1,1,2,90.21,96.94,0.0,0.0
1,2,0,52.98,84.92,83.13,0.0
1,2,1,76.38,73.02,99.78,0.0
1,2,2,67.6,74.94,99.89,0.0
1,3,0,78.4,67.01,96.58,68.69
1,3,1,80.2,45.35,79.05,93.69
1,3,2,85.26,36.85,98.02,91.04
2,0,0,83.13,0.0,0.0,0.0
2,0,1,95.56,0.0,0.0,0.0
2,0,2,98.22,0.0,0.0,0.0
2,1,0,60.6,77.43,0.0,0.0
2,1,1,53.16,81.38,0.0,0.0
2,1,2,56.71,81.38,0.0,0.0
2,2,0,59.6,74.27,89.04,0.0
2,2,1,50.61,70.77,98.53,0.0
2,2,2,56.49,53.05,98.64,0.0
2,3,0,56.27,58.8,73.79,77.36
2,3,1,60.04,74.72,68.93,90.77
2,3,2,63.04,61.74,88.93,91.76
3,0,0,65.35,0.0,0.0,0.0
3,0,1,71.22,0.0,0.0,0.0
3,0,2,72.35,0.0,0.0,0.0
3,1,0,36.12,98.79,0.0,0.0
3,1,1,22.01,99.78,0.0,0.0
3,1,2,23.93,99.89,0.0,0.0
3,2,0,52.6,88.09,61.67,0.0
3,2,1,45.71,71.78,87.49,0.0
3,2,2,41.76,66.48,90.98,0.0
3,3,0,19.75,50.61,30.78,95.34
3,3,1,39.62,51.16,66.97,96.56
3,3,2,26.19,50.17,52.2,98.56
4,0,0,91.23,0.0,0.0,0.0
4,0,1,98.99,0.0,0.0,0.0
4,0,2,99.78,0.0,0.0,0.0
4,1,0,97.41,89.89,0.0,0.0
4,1,1,97.3,89.78,0.0,0.0
4,1,2,97.53,89.89,0.0,0.0
4,2,0,69.4,65.6,45.29,0.0
4,2,1,74.8,76.48,92.03,0.0
4,2,2,71.54,86.92,94.46,0.0
4,3,0,79.87,69.34,68.66,83.98
4,3,1,87.96,74.62,73.64,95.68
4,3,2,86.73,69.45,70.87,99.2
