run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.11,0.0,0.0,0.0
0,0,1,96.36,0.0,0.0,0.0
0,0,2,97.35,0.0,0.0,0.0
0,1,0,81.24,96.38,0.0,0.0
0,1,1,86.64,96.61,0.0,0.0
0,1,2,69.32,94.8,0.0,0.0
0,2,0,75.72,48.87,90.48,0.0
0,2,1,72.96,47.96,96.03,0.0
0,2,2,73.07,48.3,96.26,0.0
0,3,0,76.6,49.77,58.73,80.0
0,3,1,78.26,47.85,51.13,90.99
0,3,2,79.14,48.53,47.62,95.38
1,0,0,92.24,0.0,0.0,0.0
1,0,1,97.41,0.0,0.0,0.0
1,0,2,97.86,0.0,0.0,0.0
1,1,0,92.69,72.0,0.0,0.0
1,1,1,80.54,89.34,0.0,0.0
1,1,2,76.27,95.01,0.0,0.0
1,2,0,81.1,73.02,70.12,0.0
1,2,1,85.26,63.15,99.12,0.0
1,2,2,88.41,56.92,99.78,0.0
1,3,0,90.55,21.66,84.01,76.0
1,3,1,80.2,41.61,83.24,88.38
1,3,2,94.94,51.59,73.87,92.04
2,0,0,83.57,0.0,0.0,0.0
2,0,1,93.12,0.0,0.0,0.0
2,0,2,97.67,0.0,0.0,0.0
2,1,0,90.79,76.07,0.0,0.0
2,1,1,86.79,83.86,0.0,0.0
2,1,2,87.68,83.86,0.0,0.0
2,2,0,87.13,44.58,89.38,0.0
2,2,1,86.02,58.35,97.06,0.0
2,2,2,85.9,69.41,96.5,0.0
2,3,0,82.91,36.91,66.1,69.23
2,3,1,83.68,48.65,83.84,79.89
2,3,2,50.06,58.01,78.19,91.43
3,0,0,71.67,0.0,0.0,0.0
3,0,1,91.65,0.0,0.0,0.0
3,0,2,91.53,0.0,0.0,0.0
3,1,0,78.22,61.41,0.0,0.0
3,1,1,82.51,99.67,0.0,0.0
3,1,2,71.22,99.89,0.0,0.0
3,2,0,79.91,37.82,80.5,0.0
3,2,1,69.07,68.69,90.87,0.0
3,2,2,80.47,59.98,92.33,0.0
3,3,0,55.87,25.47,65.61,72.84
3,3,1,67.61,38.92,67.76,94.24
3,3,2,71.9,54.13,76.32,94.12
4,0,0,90.78,0.0,0.0,0.0
4,0,1,98.54,0.0,0.0,0.0
4,0,2,98.54,0.0,0.0,0.0
4,1,0,91.23,87.36,0.0,0.0
4,1,1,86.16,94.84,0.0,0.0
4,1,2,92.35,95.82,0.0,0.0
4,2,0,86.5,91.32,60.69,0.0
4,2,1,90.1,63.85,81.95,0.0
4,2,2,88.86,43.52,86.6,0.0
4,3,0,91.11,35.6,51.61,82.27
4,3,1,86.84,32.97,46.84,94.66
4,3,2,89.09,34.4,59.25,97.39
