run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.11,0.0,0.0,0.0
0,0,1,96.36,0.0,0.0,0.0
0,0,2,97.35,0.0,0.0,0.0
0,1,0,85.43,96.61,0.0,0.0
0,1,1,82.45,98.64,0.0,0.0
0,1,2,72.3,99.32,0.0,0.0
0,2,0,63.25,85.07,81.97,0.0
0,2,1,76.71,87.33,90.48,0.0
0,2,2,72.19,86.65,91.84,0.0
0,3,0,68.1,80.2,90.14,82.86
0,3,1,64.9,71.61,67.69,95.16
0,3,2,72.74,84.28,81.07,93.41
1,0,0,92.24,0.0,0.0,0.0
1,0,1,97.41,0.0,0.0,0.0
1,0,2,97.86,0.0,0.0,0.0
1,1,0,90.55,71.09,0.0,0.0
1,1,1,92.24,85.15,0.0,0.0
1,1,2,90.33,84.58,0.0,0.0
1,2,0,87.29,68.03,94.82,0.0
1,2,1,90.33,81.07,99.56,0.0
1,2,2,87.85,76.87,99.67,0.0
1,3,0,86.39,59.86,96.8,77.88
1,3,1,83.69,32.99,96.36,93.92
1,3,2,84.48,31.29,96.47,93.92
2,0,0,83.57,0.0,0.0,0.0
2,0,1,93.12,0.0,0.0,0.0
2,0,2,97.67,0.0,0.0,0.0
2,1,0,88.46,80.14,0.0,0.0
2,1,1,88.46,80.59,0.0,0.0
2,1,2,89.9,81.26,0.0,0.0
2,2,0,81.35,69.3,90.73,0.0
2,2,1,79.13,73.59,91.86,0.0
2,2,2,75.69,68.17,97.18,0.0
2,3,0,78.91,60.16,77.63,88.13
2,3,1,76.69,65.91,79.32,90.88
2,3,2,77.03,66.59,79.66,91.32
3,0,0,71.67,0.0,0.0,0.0
3,0,1,91.65,0.0,0.0,0.0
3,0,2,91.53,0.0,0.0,0.0
3,1,0,78.33,63.07,0.0,0.0
3,1,1,82.62,95.81,0.0,0.0
3,1,2,77.77,99.34,0.0,0.0
3,2,0,82.05,92.72,84.67,0.0
3,2,1,81.26,94.38,83.88,0.0
3,2,2,80.36,84.23,84.55,0.0
3,3,0,64.9,71.89,86.13,84.59
3,3,1,78.56,75.3,86.47,89.8
3,3,2,77.77,74.42,80.05,93.68
4,0,0,90.78,0.0,0.0,0.0
4,0,1,98.54,0.0,0.0,0.0
4,0,2,98.54,0.0,0.0,0.0
4,1,0,88.3,89.34,0.0,0.0
4,1,1,85.04,94.51,0.0,0.0
4,1,2,89.43,94.62,0.0,0.0
4,2,0,74.24,92.42,39.09,0.0
4,2,1,91.68,71.1,68.44,0.0
4,2,2,89.31,76.59,76.74,0.0
4,3,0,87.29,40.88,55.81,81.82
4,3,1,90.33,53.96,59.58,96.36
4,3,2,90.78,58.02,65.12,96.59
