run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,0,2,50.11,0.0,0.0,0.0
0,0,3,89.85,0.0,0.0,0.0
0,0,4,87.97,0.0,0.0,0.0
0,0,5,94.7,0.0,0.0,0.0
0,0,6,98.45,0.0,0.0,0.0
0,0,7,99.67,0.0,0.0,0.0
0,0,8,99.56,0.0,0.0,0.0
0,0,9,99.89,0.0,0.0,0.0
0,1,0,68.43,84.73,0.0,0.0
0,1,1,68.65,84.39,0.0,0.0
0,1,2,60.26,86.54,0.0,0.0
0,1,3,59.16,94.23,0.0,0.0
0,1,4,61.04,95.81,0.0,0.0
0,1,5,58.61,98.98,0.0,0.0
0,1,6,58.83,98.98,0.0,0.0
0,1,7,58.83,98.98,0.0,0.0
0,1,8,58.72,98.98,0.0,0.0
0,1,9,59.6,98.76,0.0,0.0
0,2,0,52.98,93.21,58.62,0.0
0,2,1,43.05,81.9,64.29,0.0
0,2,2,55.85,87.67,78.8,0.0
0,2,3,55.19,87.33,79.25,0.0
0,2,4,54.64,86.65,79.82,0.0
0,2,5,52.87,84.39,84.35,0.0
0,2,6,54.97,82.92,87.98,0.0
0,2,7,54.75,83.48,87.53,0.0
0,2,8,54.42,84.39,88.21,0.0
0,2,9,54.08,86.54,90.14,0.0
0,3,0,52.43,66.97,73.92,85.27
0,3,1,47.46,71.27,75.96,87.36
0,3,2,49.01,75.68,81.52,85.82
0,3,3,48.9,76.02,80.84,87.36
0,3,4,47.68,65.5,83.79,91.32
0,3,5,47.68,66.74,83.9,90.77
0,3,6,47.9,67.42,84.01,90.77
0,3,7,48.9,68.67,80.73,91.54
0,3,8,49.23,71.38,81.41,91.43
0,3,9,50.11,71.15,84.35,93.41
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,89.65,0.0,0.0,0.0
1,0,3,94.26,0.0,0.0,0.0
1,0,4,94.26,0.0,0.0,0.0
1,0,5,93.93,0.0,0.0,0.0
1,0,6,97.64,0.0,0.0,0.0
1,0,7,97.98,0.0,0.0,0.0
1,0,8,98.43,0.0,0.0,0.0
1,0,9,98.2,0.0,0.0,0.0
1,1,0,86.28,70.29,0.0,0.0
1,1,1,69.74,78.68,0.0,0.0
1,1,2,71.88,78.68,0.0,0.0
1,1,3,74.35,80.73,0.0,0.0
1,1,4,74.58,81.75,0.0,0.0
1,1,5,74.58,81.86,0.0,0.0
1,1,6,74.92,82.09,0.0,0.0
1,1,7,80.09,86.39,0.0,0.0
1,1,8,80.09,86.39,0.0,0.0
1,1,9,86.5,84.92,0.0,0.0
1,2,0,80.65,70.98,94.82,0.0
1,2,1,83.91,67.91,95.81,0.0
1,2,2,82.9,66.55,97.68,0.0
1,2,3,81.33,64.06,97.79,0.0
1,2,4,82.9,61.56,98.79,0.0
1,2,5,81.21,59.64,98.35,0.0
1,2,6,82.9,67.35,98.9,0.0
1,2,7,83.01,67.8,98.79,0.0
1,2,8,85.83,69.84,98.68,0.0
1,2,9,82.68,69.95,99.12,0.0
1,3,0,78.29,67.12,93.5,41.81
1,3,1,75.03,65.76,81.48,70.02
1,3,2,78.52,71.2,90.85,71.02
1,3,3,78.29,70.75,90.96,71.79
1,3,4,78.29,70.63,91.07,72.23
1,3,5,76.15,43.88,70.34,83.85
1,3,6,76.04,44.44,72.33,83.96
1,3,7,76.15,45.69,73.76,83.85
1,3,8,76.27,46.49,74.31,83.63
1,3,9,76.27,54.76,82.47,85.4
2,0,0,77.14,0.0,0.0,0.0
2,0,1,65.48,0.0,0.0,0.0
2,0,2,94.78,0.0,0.0,0.0
2,0,3,95.56,0.0,0.0,0.0
2,0,4,97.78,0.0,0.0,0.0
2,0,5,98.0,0.0,0.0,0.0
2,0,6,98.67,0.0,0.0,0.0
2,0,7,98.67,0.0,0.0,0.0
2,0,8,98.11,0.0,0.0,0.0
2,0,9,97.34,0.0,0.0,0.0
2,1,0,95.45,55.98,0.0,0.0
2,1,1,82.13,83.97,0.0,0.0
2,1,2,79.47,82.17,0.0,0.0
2,1,3,79.91,82.28,0.0,0.0
2,1,4,80.47,84.09,0.0,0.0
2,1,5,82.13,84.31,0.0,0.0
2,1,6,82.13,84.31,0.0,0.0
2,1,7,81.58,85.55,0.0,0.0
2,1,8,82.02,85.55,0.0,0.0
2,1,9,84.35,85.55,0.0,0.0
2,2,0,82.8,35.1,81.13,0.0
2,2,1,76.36,47.29,86.89,0.0
2,2,2,77.8,49.44,87.12,0.0
2,2,3,82.24,54.51,89.94,0.0
2,2,4,82.46,52.14,90.73,0.0
2,2,5,79.69,55.76,91.3,0.0
2,2,6,83.24,54.85,95.59,0.0
2,2,7,83.91,52.82,96.61,0.0
2,2,8,76.91,51.13,97.85,0.0
2,2,9,82.8,51.81,98.31,0.0
2,3,0,74.36,53.72,90.28,90.33
2,3,1,76.03,51.92,92.09,90.99
2,3,2,67.26,55.87,80.68,93.19
2,3,3,67.48,55.87,82.03,93.08
2,3,4,68.15,55.87,82.82,92.86
2,3,5,67.7,55.87,84.07,92.53
2,3,6,65.15,47.07,91.86,90.88
