run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,82.67,0.0,0.0,0.0
0,0,1,95.7,0.0,0.0,0.0
0,0,2,97.46,0.0,0.0,0.0
0,0,3,97.68,0.0,0.0,0.0
0,0,4,98.9,0.0,0.0,0.0
0,1,0,62.47,91.63,0.0,0.0
0,1,1,52.1,95.48,0.0,0.0
0,1,2,44.04,96.95,0.0,0.0
0,1,3,55.41,97.4,0.0,0.0
0,1,4,58.61,96.83,0.0,0.0
0,2,0,67.99,87.33,54.99,0.0
0,2,1,90.84,80.2,69.39,0.0
0,2,2,90.29,80.09,70.18,0.0
0,2,3,90.29,80.32,70.52,0.0
0,2,4,89.85,80.66,70.52,0.0
0,3,0,80.24,79.41,54.42,73.41
0,3,1,69.87,76.47,54.99,86.7
0,3,2,70.31,73.87,53.29,84.51
0,3,3,68.65,77.71,58.05,88.68
0,3,4,69.32,77.83,58.5,88.24
1,0,0,49.16,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,90.55,0.0,0.0,0.0
1,0,4,90.89,0.0,0.0,0.0
1,1,0,86.39,73.7,0.0,0.0
1,1,1,74.8,80.39,0.0,0.0
1,1,2,75.48,77.44,0.0,0.0
1,1,3,77.73,80.05,0.0,0.0
1,1,4,78.18,79.93,0.0,0.0
1,2,0,86.28,70.18,97.13,0.0
1,2,1,88.86,67.8,99.12,0.0
1,2,2,86.5,71.66,98.9,0.0
1,2,3,88.64,71.77,99.01,0.0
1,2,4,88.41,71.43,98.9,0.0
1,3,0,71.54,75.17,79.82,52.54
1,3,1,74.92,72.11,92.39,63.16
1,3,2,74.92,72.0,92.61,63.27
1,3,3,75.03,65.08,82.58,85.95
1,3,4,77.28,66.89,88.86,86.28
2,0,0,57.71,0.0,0.0,0.0
2,0,1,71.37,0.0,0.0,0.0
2,0,2,88.24,0.0,0.0,0.0
2,0,3,88.68,0.0,0.0,0.0
2,0,4,90.9,0.0,0.0,0.0
2,1,0,65.37,61.96,0.0,0.0
2,1,1,46.61,84.2,0.0,0.0
2,1,2,54.16,85.33,0.0,0.0
2,1,3,53.83,84.54,0.0,0.0
2,1,4,54.05,84.65,0.0,0.0
2,2,0,65.7,62.42,81.92,0.0
2,2,1,59.38,74.38,93.45,0.0
2,2,2,57.38,57.45,93.22,0.0
2,2,3,57.27,57.22,93.67,0.0
2,2,4,59.27,56.55,94.35,0.0
2,3,0,48.61,56.77,76.84,82.97
2,3,1,50.17,55.76,91.41,91.76
2,3,2,49.83,54.74,82.03,93.85
2,3,3,51.39,52.71,88.25,94.95
2,3,4,51.28,52.93,88.36,94.95
3,0,0,69.19,0.0,0.0,0.0
3,0,1,82.73,0.0,0.0,0.0
3,0,2,90.97,0.0,0.0,0.0
3,0,3,90.86,0.0,0.0,0.0
3,0,4,89.5,0.0,0.0,0.0
3,1,0,73.14,91.95,0.0,0.0
3,1,1,61.4,98.24,0.0,0.0
3,1,2,67.49,96.14,0.0,0.0
3,1,3,62.64,99.45,0.0,0.0
3,1,4,62.75,99.45,0.0,0.0
3,2,0,65.69,93.83,62.91,0.0
3,2,1,52.26,83.57,82.53,0.0
3,2,2,54.06,85.89,82.07,0.0
3,2,3,59.03,82.69,86.02,0.0
3,2,4,59.26,82.58,85.91,0.0
3,3,0,69.86,89.97,42.73,86.03
3,3,1,65.69,90.63,42.73,89.14
3,3,2,63.09,86.66,44.31,89.14
3,3,3,63.43,80.82,43.86,91.69
3,3,4,63.66,81.26,44.08,91.69
4,0,0,57.14,0.0,0.0,0.0
4,0,1,88.64,0.0,0.0,0.0
4,0,2,88.86,0.0,0.0,0.0
4,0,3,91.11,0.0,0.0,0.0
4,0,4,92.24,0.0,0.0,0.0
4,1,0,84.03,77.91,0.0,0.0
4,1,1,83.35,85.05,0.0,0.0
4,1,2,84.48,85.27,0.0,0.0
4,1,3,79.98,94.18,0.0,0.0
4,1,4,80.76,94.29,0.0,0.0
4,2,0,75.48,61.32,67.11,0.0
4,2,1,76.27,60.66,69.32,0.0
4,2,2,77.17,61.65,68.0,0.0
4,2,3,81.33,66.15,77.3,0.0
4,2,4,82.0,56.92,82.95,0.0
4,3,0,71.77,56.92,60.91,81.14
4,3,1,71.65,67.25,52.05,94.89
4,3,2,74.02,66.7,56.04,95.11
4,3,3,72.1,64.84,59.03,95.57
4,3,4,75.93,64.18,58.47,95.68
