run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,94.37,0.0,0.0,0.0
0,0,2,99.45,0.0,0.0,0.0
0,1,0,84.99,97.62,0.0,0.0
0,1,1,90.29,94.46,0.0,0.0
0,1,2,82.45,98.98,0.0,0.0
0,2,0,32.45,91.52,70.18,0.0
0,2,1,62.14,86.99,85.37,0.0
0,2,2,65.23,79.64,86.96,0.0
0,3,0,55.63,86.31,65.65,58.46
0,3,1,19.87,61.65,56.01,82.97
0,3,2,22.08,64.48,58.62,82.75
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.55,0.0,0.0,0.0
1,0,2,99.44,0.0,0.0,0.0
1,1,0,96.63,57.94,0.0,0.0
1,1,1,96.4,61.9,0.0,0.0
1,1,2,93.59,84.35,0.0,0.0
1,2,0,85.26,63.27,96.69,0.0
1,2,1,88.98,64.29,97.35,0.0
1,2,2,88.3,60.43,99.56,0.0
1,3,0,58.27,39.0,45.2,77.99
1,3,1,49.94,26.64,49.28,83.52
1,3,2,50.62,30.95,53.58,82.96
2,0,0,88.46,0.0,0.0,0.0
2,0,1,92.67,0.0,0.0,0.0
2,0,2,94.01,0.0,0.0,0.0
2,1,0,63.6,59.93,0.0,0.0
2,1,1,64.48,59.82,0.0,0.0
2,1,2,69.59,88.6,0.0,0.0
2,2,0,52.94,76.19,95.37,0.0
2,2,1,53.5,79.12,95.71,0.0
2,2,2,53.61,78.67,97.97,0.0
2,3,0,46.5,33.41,77.97,86.81
2,3,1,46.61,33.07,77.51,87.14
2,3,2,46.5,32.39,75.14,87.91
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.25,0.0,0.0,0.0
3,0,2,87.47,0.0,0.0,0.0
3,1,0,61.74,92.5,0.0,0.0
3,1,1,66.82,92.72,0.0,0.0
3,1,2,80.14,99.45,0.0,0.0
3,2,0,76.41,39.14,78.58,0.0
3,2,1,76.52,39.47,79.03,0.0
3,2,2,57.11,43.44,91.77,0.0
3,3,0,53.16,44.43,63.25,80.16
3,3,1,28.44,43.66,52.87,92.13
3,3,2,29.01,43.55,52.31,92.24
4,0,0,98.09,0.0,0.0,0.0
4,0,1,98.99,0.0,0.0,0.0
4,0,2,98.99,0.0,0.0,0.0
4,1,0,58.27,86.48,0.0,0.0
4,1,1,74.8,92.97,0.0,0.0
4,1,2,73.79,94.84,0.0,0.0
4,2,0,54.78,82.09,75.08,0.0
4,2,1,55.46,82.42,76.08,0.0
4,2,2,62.88,71.98,81.4,0.0
4,3,0,82.79,46.04,43.74,83.64
4,3,1,73.23,47.03,63.9,91.25
4,3,2,72.89,47.47,75.19,94.43
