run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,94.37,0.0,0.0,0.0
0,0,2,99.45,0.0,0.0,0.0
0,1,0,78.7,97.4,0.0,0.0
0,1,1,83.11,97.17,0.0,0.0
0,1,2,86.09,96.61,0.0,0.0
0,2,0,83.0,93.44,63.83,0.0
0,2,1,81.46,91.06,84.35,0.0
0,2,2,84.77,74.1,87.53,0.0
0,3,0,84.66,78.17,72.68,76.48
0,3,1,81.79,81.45,73.13,82.97
0,3,2,81.35,81.22,74.15,90.77
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.55,0.0,0.0,0.0
1,0,2,99.44,0.0,0.0,0.0
1,1,0,95.05,66.44,0.0,0.0
1,1,1,90.55,84.47,0.0,0.0
1,1,2,88.75,89.23,0.0,0.0
1,2,0,80.43,80.5,92.94,0.0
1,2,1,84.7,57.37,99.67,0.0
1,2,2,83.13,76.64,99.78,0.0
1,3,0,69.63,50.91,85.89,54.54
1,3,1,88.64,42.63,93.38,73.12
1,3,2,86.16,37.76,72.66,90.93
2,0,0,88.46,0.0,0.0,0.0
2,0,1,92.67,0.0,0.0,0.0
2,0,2,94.01,0.0,0.0,0.0
2,1,0,79.91,52.37,0.0,0.0
2,1,1,82.69,74.6,0.0,0.0
2,1,2,73.36,83.07,0.0,0.0
2,2,0,80.36,80.93,88.7,0.0
2,2,1,53.94,69.07,96.61,0.0
2,2,2,53.5,69.3,96.16,0.0
2,3,0,61.27,68.74,85.99,76.48
2,3,1,57.94,70.77,88.25,78.46
2,3,2,59.82,53.16,81.02,93.85
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.25,0.0,0.0,0.0
3,0,2,87.47,0.0,0.0,0.0
3,1,0,69.86,89.75,0.0,0.0
3,1,1,76.41,93.5,0.0,0.0
3,1,2,71.78,99.78,0.0,0.0
3,2,0,62.08,87.1,82.41,0.0
3,2,1,78.67,78.5,88.61,0.0
3,2,2,65.01,90.41,91.43,0.0
3,3,0,44.13,72.33,84.89,90.24
3,3,1,48.08,84.56,83.54,94.68
3,3,2,63.21,95.7,78.47,95.01
4,0,0,98.09,0.0,0.0,0.0
4,0,1,98.99,0.0,0.0,0.0
4,0,2,98.99,0.0,0.0,0.0
4,1,0,67.49,89.45,0.0,0.0
4,1,1,76.94,94.18,0.0,0.0
4,1,2,77.84,93.63,0.0,0.0
4,2,0,54.22,84.51,73.86,0.0
4,2,1,73.9,59.56,82.5,0.0
4,2,2,73.34,60.55,82.28,0.0
4,3,0,83.35,59.78,73.31,90.34
4,3,1,73.57,69.23,64.89,96.25
4,3,2,75.59,60.77,70.1,98.52
