run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,99.34,0.0,0.0,0.0
0,1,0,84.99,97.17,0.0,0.0
0,2,0,86.98,87.22,87.64,0.0
0,3,0,82.23,83.71,80.61,92.64
1,0,0,98.31,0.0,0.0,0.0
1,1,0,92.13,90.25,0.0,0.0
1,2,0,89.2,57.71,98.35,0.0
1,3,0,82.45,56.92,90.63,88.38
2,0,0,97.0,0.0,0.0,0.0
2,1,0,92.67,90.97,0.0,0.0
2,2,0,91.56,74.49,97.18,0.0
2,3,0,48.28,45.49,72.77,96.37
3,0,0,92.66,0.0,0.0,0.0
3,1,0,73.25,98.9,0.0,0.0
3,2,0,82.17,92.5,92.11,0.0
3,3,0,62.64,65.6,66.07,94.35
4,0,0,97.41,0.0,0.0,0.0
4,1,0,96.85,96.15,0.0,0.0
4,2,0,80.88,93.63,92.47,0.0
4,3,0,92.46,80.99,63.34,96.14
