run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,77.48,0.0,0.0,0.0
0,0,1,93.49,0.0,0.0,0.0
0,0,2,99.45,0.0,0.0,0.0
0,1,0,80.24,95.81,0.0,0.0
0,1,1,82.12,94.46,0.0,0.0
0,1,2,81.46,98.98,0.0,0.0
0,2,0,50.88,91.86,74.6,0.0
0,2,1,50.33,93.1,86.73,0.0
0,2,2,46.58,97.17,88.1,0.0
0,3,0,46.58,71.72,54.76,82.53
0,3,1,44.48,73.76,53.4,92.97
0,3,2,44.37,71.15,52.95,93.63
1,0,0,98.43,0.0,0.0,0.0
1,0,1,98.2,0.0,0.0,0.0
1,0,2,98.54,0.0,0.0,0.0
1,1,0,87.06,78.91,0.0,0.0
1,1,1,79.19,86.05,0.0,0.0
1,1,2,80.65,95.8,0.0,0.0
1,2,0,66.03,84.13,97.68,0.0
1,2,1,51.74,73.92,99.01,0.0
1,2,2,53.54,70.75,99.45,0.0
1,3,0,50.73,72.79,44.54,66.37
1,3,1,48.48,64.63,46.42,82.08
1,3,2,48.48,64.29,46.31,83.3
2,0,0,89.57,0.0,0.0,0.0
2,0,1,94.45,0.0,0.0,0.0
2,0,2,95.12,0.0,0.0,0.0
2,1,0,77.14,76.52,0.0,0.0
2,1,1,69.92,88.26,0.0,0.0
2,1,2,62.49,88.71,0.0,0.0
2,2,0,66.48,76.64,94.24,0.0
2,2,1,65.04,81.04,96.95,0.0
2,2,2,55.94,78.89,97.74,0.0
2,3,0,46.73,54.4,94.24,80.44
2,3,1,46.84,54.63,85.99,88.24
2,3,2,46.39,53.95,86.89,88.68
3,0,0,73.48,0.0,0.0,0.0
3,0,1,72.91,0.0,0.0,0.0
3,0,2,73.02,0.0,0.0,0.0
3,1,0,68.74,95.59,0.0,0.0
3,1,1,69.19,95.37,0.0,0.0
3,1,2,33.86,99.78,0.0,0.0
3,2,0,68.62,46.64,86.47,0.0
3,2,1,79.46,44.76,91.66,0.0
3,2,2,64.9,47.08,94.14,0.0
3,3,0,44.58,47.52,56.93,88.58
3,3,1,47.97,45.98,61.44,96.67
3,3,2,58.69,46.97,46.9,97.12
4,0,0,94.71,0.0,0.0,0.0
4,0,1,97.86,0.0,0.0,0.0
4,0,2,99.78,0.0,0.0,0.0
4,1,0,94.38,91.21,0.0,0.0
4,1,1,95.95,95.49,0.0,0.0
4,1,2,88.41,96.92,0.0,0.0
4,2,0,78.97,57.03,81.17,0.0
4,2,1,78.18,88.9,85.05,0.0
4,2,2,80.65,56.59,85.83,0.0
4,3,0,90.55,54.51,42.97,94.32
4,3,1,82.9,76.26,41.42,97.5
4,3,2,88.3,59.89,35.99,99.2
