run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,89.85,0.0,0.0,0.0
0,0,1,97.02,0.0,0.0,0.0
0,0,2,97.02,0.0,0.0,0.0
0,0,3,99.23,0.0,0.0,0.0
0,0,4,99.56,0.0,0.0,0.0
0,1,0,86.31,83.37,0.0,0.0
0,1,1,85.21,91.74,0.0,0.0
0,1,2,63.36,92.53,0.0,0.0
0,1,3,57.17,96.04,0.0,0.0
0,1,4,62.25,98.19,0.0,0.0
0,2,0,76.05,90.84,67.01,0.0
0,2,1,74.5,77.6,81.75,0.0
0,2,2,70.86,76.13,86.62,0.0
0,2,3,63.91,59.62,92.29,0.0
0,2,4,67.88,64.82,94.44,0.0
0,3,0,74.5,63.91,68.25,86.48
0,3,1,62.8,64.37,80.84,87.47
0,3,2,63.02,69.23,76.76,92.64
0,3,3,75.28,70.7,77.1,92.53
0,3,4,69.43,67.87,76.42,93.96
1,0,0,85.6,0.0,0.0,0.0
1,0,1,88.98,0.0,0.0,0.0
1,0,2,93.36,0.0,0.0,0.0
1,0,3,97.41,0.0,0.0,0.0
1,0,4,97.41,0.0,0.0,0.0
1,1,0,82.45,61.68,0.0,0.0
1,1,1,82.23,81.86,0.0,0.0
1,1,2,79.87,83.79,0.0,0.0
1,1,3,73.68,89.12,0.0,0.0
1,1,4,75.48,88.21,0.0,0.0
1,2,0,81.21,77.66,95.37,0.0
1,2,1,79.19,77.21,99.23,0.0
1,2,2,78.74,73.02,99.45,0.0
1,2,3,80.88,80.84,99.45,0.0
1,2,4,80.43,78.57,99.45,0.0
1,3,0,80.88,76.3,92.5,51.55
1,3,1,77.95,69.84,87.54,67.81
1,3,2,84.36,69.05,81.37,80.31
1,3,3,84.93,70.18,78.83,84.73
1,3,4,82.68,73.58,76.07,88.27
2,0,0,87.24,0.0,0.0,0.0
2,0,1,91.68,0.0,0.0,0.0
2,0,2,91.79,0.0,0.0,0.0
2,0,3,92.01,0.0,0.0,0.0
2,0,4,91.79,0.0,0.0,0.0
2,1,0,72.36,79.68,0.0,0.0
2,1,1,70.59,80.25,0.0,0.0
2,1,2,71.14,80.93,0.0,0.0
2,1,3,72.59,82.96,0.0,0.0
2,1,4,73.36,83.86,0.0,0.0
2,2,0,65.48,53.84,82.71,0.0
2,2,1,68.37,54.63,87.34,0.0
2,2,2,67.7,65.58,92.88,0.0
2,2,3,70.37,66.59,95.82,0.0
2,2,4,83.13,63.09,93.79,0.0
2,3,0,65.37,37.02,85.42,69.67
2,3,1,58.49,51.13,91.64,81.32
2,3,2,63.93,60.95,88.02,87.91
2,3,3,62.82,63.54,83.95,89.34
2,3,4,62.6,64.45,84.86,89.89
3,0,0,79.01,0.0,0.0,0.0
3,0,1,86.79,0.0,0.0,0.0
3,0,2,87.92,0.0,0.0,0.0
3,0,3,88.04,0.0,0.0,0.0
3,0,4,88.04,0.0,0.0,0.0
3,1,0,76.98,98.79,0.0,0.0
3,1,1,65.58,99.78,0.0,0.0
3,1,2,67.27,99.78,0.0,0.0
3,1,3,68.62,99.89,0.0,0.0
3,1,4,68.74,99.89,0.0,0.0
3,2,0,45.82,93.5,74.3,0.0
3,2,1,62.3,93.38,83.99,0.0
3,2,2,58.47,92.72,88.73,0.0
3,2,3,59.93,92.39,90.08,0.0
3,2,4,59.93,92.28,90.19,0.0
3,3,0,64.79,92.06,62.57,79.16
3,3,1,59.93,84.56,70.12,93.68
3,3,2,62.87,83.68,59.41,96.01
3,3,3,66.25,84.9,69.79,95.23
3,3,4,64.9,85.67,66.29,96.23
4,0,0,78.85,0.0,0.0,0.0
4,0,1,94.49,0.0,0.0,0.0
4,0,2,95.5,0.0,0.0,0.0
4,0,3,97.75,0.0,0.0,0.0
4,0,4,96.85,0.0,0.0,0.0
4,1,0,90.66,82.86,0.0,0.0
4,1,1,90.66,82.75,0.0,0.0
4,1,2,91.34,88.24,0.0,0.0
4,1,3,92.01,95.16,0.0,0.0
4,1,4,91.68,95.16,0.0,0.0
4,2,0,88.86,69.56,61.24,0.0
4,2,1,86.05,84.4,80.73,0.0
4,2,2,88.75,74.4,85.49,0.0
4,2,3,89.54,71.1,88.37,0.0
4,2,4,89.09,70.55,88.37,0.0
4,3,0,72.44,57.58,65.45,85.11
4,3,1,83.91,79.01,71.54,96.14
4,3,2,83.35,78.9,69.32,97.16
4,3,3,84.14,78.35,67.66,97.5
4,3,4,83.91,76.7,64.56,98.52
