run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,77.48,0.0,0.0,0.0
0,0,1,93.49,0.0,0.0,0.0
0,0,2,99.89,0.0,0.0,0.0
0,1,0,66.0,94.0,0.0,0.0
0,1,1,68.76,94.0,0.0,0.0
0,1,2,61.81,97.06,0.0,0.0
0,2,0,43.93,92.87,83.33,0.0
0,2,1,44.59,93.33,84.01,0.0
0,2,2,46.8,87.44,90.7,0.0
0,3,0,47.9,61.54,63.61,86.04
0,3,1,48.23,59.73,67.46,88.35
0,3,2,47.57,56.22,38.44,95.27
1,0,0,98.43,0.0,0.0,0.0
1,0,1,98.2,0.0,0.0,0.0
1,0,2,99.1,0.0,0.0,0.0
1,1,0,89.43,90.36,0.0,0.0
1,1,1,90.78,90.25,0.0,0.0
1,1,2,90.66,90.48,0.0,0.0
1,2,0,52.08,86.62,93.27,0.0
1,2,1,50.51,84.92,99.89,0.0
1,2,2,50.51,84.81,99.89,0.0
1,3,0,50.84,53.4,91.29,76.88
1,3,1,69.4,69.73,75.3,92.48
1,3,2,58.49,62.59,51.49,95.35
2,0,0,89.57,0.0,0.0,0.0
2,0,1,94.45,0.0,0.0,0.0
2,0,2,94.23,0.0,0.0,0.0
2,1,0,77.69,74.6,0.0,0.0
2,1,1,77.36,76.3,0.0,0.0
2,1,2,74.47,84.65,0.0,0.0
2,2,0,73.03,37.81,94.69,0.0
2,2,1,68.81,81.94,96.38,0.0
2,2,2,70.14,62.53,98.76,0.0
2,3,0,49.5,44.02,92.54,83.74
2,3,1,42.73,45.71,81.81,88.24
2,3,2,42.73,46.61,80.9,88.46
3,0,0,73.48,0.0,0.0,0.0
3,0,1,72.91,0.0,0.0,0.0
3,0,2,75.06,0.0,0.0,0.0
3,1,0,76.41,85.78,0.0,0.0
3,1,1,56.09,94.38,0.0,0.0
3,1,2,67.72,99.89,0.0,0.0
3,2,0,66.93,49.17,65.28,0.0
3,2,1,66.59,70.89,88.84,0.0
3,2,2,64.56,66.59,86.81,0.0
3,3,0,52.82,45.42,24.46,84.92
3,3,1,63.66,46.09,46.0,88.91
3,3,2,53.05,42.78,28.07,92.57
4,0,0,94.71,0.0,0.0,0.0
4,0,1,97.86,0.0,0.0,0.0
4,0,2,99.66,0.0,0.0,0.0
4,1,0,94.6,89.23,0.0,0.0
4,1,1,96.18,92.09,0.0,0.0
4,1,2,96.4,92.42,0.0,0.0
4,2,0,92.58,33.74,58.91,0.0
4,2,1,93.03,44.73,84.5,0.0
4,2,2,92.91,44.84,84.94,0.0
4,3,0,95.95,37.58,29.9,82.05
4,3,1,93.93,40.44,46.18,91.93
4,3,2,92.46,39.67,34.88,97.61
