run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,77.48,0.0,0.0,0.0
0,0,1,93.49,0.0,0.0,0.0
0,0,2,99.89,0.0,0.0,0.0
0,1,0,58.5,95.02,0.0,0.0
0,1,1,79.47,96.95,0.0,0.0
0,1,2,78.81,97.06,0.0,0.0
0,2,0,58.72,92.76,86.17,0.0
0,2,1,55.63,94.91,85.15,0.0
0,2,2,70.31,92.99,92.29,0.0
0,3,0,55.3,90.95,75.17,86.15
0,3,1,56.29,94.0,77.89,91.1
0,3,2,60.26,92.65,69.84,95.82
1,0,0,98.43,0.0,0.0,0.0
1,0,1,98.2,0.0,0.0,0.0
1,0,2,99.1,0.0,0.0,0.0
1,1,0,89.65,85.37,0.0,0.0
1,1,1,86.61,90.36,0.0,0.0
1,1,2,86.61,91.04,0.0,0.0
1,2,0,88.64,82.88,95.81,0.0
1,2,1,89.31,79.48,99.34,0.0
1,2,2,92.01,82.88,99.34,0.0
1,3,0,93.36,59.98,93.38,82.63
1,3,1,94.26,39.57,66.59,93.36
1,3,2,95.05,64.29,95.37,90.93
2,0,0,89.57,0.0,0.0,0.0
2,0,1,94.45,0.0,0.0,0.0
2,0,2,94.23,0.0,0.0,0.0
2,1,0,81.02,82.84,0.0,0.0
2,1,1,75.92,88.49,0.0,0.0
2,1,2,76.14,88.83,0.0,0.0
2,2,0,71.25,81.72,96.05,0.0
2,2,1,76.69,79.68,94.24,0.0
2,2,2,72.81,80.14,97.85,0.0
2,3,0,64.71,75.28,90.4,71.1
2,3,1,66.26,77.09,90.51,83.08
2,3,2,70.26,70.88,92.32,92.75
3,0,0,73.48,0.0,0.0,0.0
3,0,1,72.91,0.0,0.0,0.0
3,0,2,75.06,0.0,0.0,0.0
3,1,0,42.78,97.79,0.0,0.0
3,1,1,52.71,98.57,0.0,0.0
3,1,2,61.74,99.34,0.0,0.0
3,2,0,65.69,99.45,76.55,0.0
3,2,1,67.61,98.9,85.91,0.0
3,2,2,66.93,98.68,86.25,0.0
3,3,0,59.48,84.79,72.49,92.35
3,3,1,57.79,88.31,80.95,93.46
3,3,2,60.05,90.41,57.72,95.79
4,0,0,94.71,0.0,0.0,0.0
4,0,1,97.86,0.0,0.0,0.0
4,0,2,99.66,0.0,0.0,0.0
4,1,0,93.48,86.48,0.0,0.0
4,1,1,94.71,95.93,0.0,0.0
4,1,2,94.94,95.82,0.0,0.0
4,2,0,79.75,91.87,58.69,0.0
4,2,1,91.68,84.18,83.61,0.0
4,2,2,92.69,55.6,81.84,0.0
4,3,0,94.26,72.75,47.62,66.25
4,3,1,93.14,78.35,65.01,93.41
4,3,2,94.38,84.4,50.17,97.27
