run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,89.85,0.0,0.0,0.0
0,0,1,81.46,0.0,0.0,0.0
0,0,2,87.42,0.0,0.0,0.0
0,0,3,93.71,0.0,0.0,0.0
0,0,4,94.59,0.0,0.0,0.0
0,1,0,88.19,74.55,0.0,0.0
0,1,1,85.32,91.06,0.0,0.0
0,1,2,76.49,94.57,0.0,0.0
0,1,3,77.81,94.57,0.0,0.0
0,1,4,78.81,97.4,0.0,0.0
0,2,0,67.77,78.17,56.35,0.0
0,2,1,84.0,86.99,69.5,0.0
0,2,2,81.9,83.71,73.58,0.0
0,2,3,81.79,83.71,73.7,0.0
0,2,4,81.68,85.07,76.76,0.0
0,3,0,67.0,77.04,64.51,75.93
0,3,1,56.18,76.92,64.85,85.6
0,3,2,58.5,70.81,65.53,88.68
0,3,3,60.82,73.42,69.05,91.43
0,3,4,62.25,72.51,57.94,91.65
1,0,0,85.6,0.0,0.0,0.0
1,0,1,90.1,0.0,0.0,0.0
1,0,2,91.23,0.0,0.0,0.0
1,0,3,95.28,0.0,0.0,0.0
1,0,4,95.39,0.0,0.0,0.0
1,1,0,74.02,69.16,0.0,0.0
1,1,1,76.38,69.16,0.0,0.0
1,1,2,84.14,84.81,0.0,0.0
1,1,3,80.2,88.66,0.0,0.0
1,1,4,79.87,88.66,0.0,0.0
1,2,0,79.08,77.55,95.81,0.0
1,2,1,78.97,77.78,97.02,0.0
1,2,2,79.42,76.08,98.24,0.0
1,2,3,78.63,77.66,98.79,0.0
1,2,4,83.58,75.85,98.24,0.0
1,3,0,79.19,75.62,91.07,51.55
1,3,1,77.95,57.6,85.12,57.85
1,3,2,74.58,67.8,86.77,72.57
1,3,3,76.04,69.61,86.99,84.18
1,3,4,76.04,69.61,86.55,84.4
2,0,0,87.24,0.0,0.0,0.0
2,0,1,84.02,0.0,0.0,0.0
2,0,2,81.91,0.0,0.0,0.0
2,0,3,83.68,0.0,0.0,0.0
2,0,4,90.34,0.0,0.0,0.0
2,1,0,75.8,76.3,0.0,0.0
2,1,1,78.69,76.3,0.0,0.0
2,1,2,78.8,85.55,0.0,0.0
2,1,3,79.69,85.55,0.0,0.0
2,1,4,80.69,86.57,0.0,0.0
2,2,0,85.57,72.35,72.99,0.0
2,2,1,83.35,72.12,96.27,0.0
2,2,2,83.35,72.12,96.27,0.0
2,2,3,85.02,69.86,97.06,0.0
2,2,4,84.91,69.86,96.95,0.0
2,3,0,63.82,77.43,71.86,82.53
2,3,1,57.05,63.88,91.86,86.04
2,3,2,56.94,64.0,91.75,86.37
2,3,3,59.93,65.24,89.94,87.91
2,3,4,59.71,65.58,90.17,88.13
3,0,0,79.01,0.0,0.0,0.0
3,0,1,81.83,0.0,0.0,0.0
3,0,2,80.14,0.0,0.0,0.0
3,0,3,80.25,0.0,0.0,0.0
3,0,4,80.59,0.0,0.0,0.0
3,1,0,80.47,85.89,0.0,0.0
3,1,1,77.54,99.45,0.0,0.0
3,1,2,81.15,99.34,0.0,0.0
3,1,3,78.67,99.89,0.0,0.0
3,1,4,75.62,99.89,0.0,0.0
3,2,0,67.61,91.07,70.57,0.0
3,2,1,64.79,89.75,80.05,0.0
3,2,2,66.14,92.17,81.62,0.0
3,2,3,66.14,90.3,81.85,0.0
3,2,4,67.95,90.08,83.54,0.0
3,3,0,63.43,80.93,43.29,84.81
3,3,1,66.82,81.48,48.25,86.25
3,3,2,64.11,80.26,51.97,91.8
3,3,3,64.0,81.26,53.21,91.8
3,3,4,64.22,82.03,54.68,91.35
4,0,0,78.85,0.0,0.0,0.0
4,0,1,94.83,0.0,0.0,0.0
4,0,2,94.71,0.0,0.0,0.0
4,0,3,91.9,0.0,0.0,0.0
4,0,4,92.69,0.0,0.0,0.0
4,1,0,73.23,89.67,0.0,0.0
4,1,1,87.4,86.04,0.0,0.0
4,1,2,87.51,87.03,0.0,0.0
4,1,3,87.18,87.58,0.0,0.0
4,1,4,87.51,87.69,0.0,0.0
4,2,0,89.31,37.36,59.14,0.0
4,2,1,90.1,48.68,68.66,0.0
4,2,2,90.21,51.21,69.44,0.0
4,2,3,90.33,52.97,69.66,0.0
4,2,4,88.98,71.76,74.53,0.0
4,3,0,82.45,62.64,64.23,77.16
4,3,1,83.35,72.09,62.9,93.64
4,3,2,83.58,71.98,61.02,93.98
4,3,3,83.91,70.44,58.69,95.0
4,3,4,83.91,70.55,58.47,95.0
