run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.95,0.0,0.0,0.0
0,0,1,91.31,0.0,0.0,0.0
0,0,2,92.49,0.0,0.0,0.0
0,0,3,92.34,0.0,0.0,0.0
0,0,4,92.49,0.0,0.0,0.0
0,1,0,74.23,82.02,0.0,0.0
0,1,1,88.37,93.93,0.0,0.0
0,1,2,86.75,94.27,0.0,0.0
0,1,3,90.13,95.84,0.0,0.0
0,1,4,90.43,95.96,0.0,0.0
0,2,0,86.6,85.84,64.17,0.0
0,2,1,80.71,87.87,62.24,0.0
0,2,2,79.97,89.33,68.37,0.0
0,2,3,78.94,89.55,68.14,0.0
0,2,4,83.36,84.72,65.87,0.0
0,3,0,85.13,73.48,67.35,59.14
0,3,1,64.65,68.99,67.91,78.96
0,3,2,74.23,76.97,69.61,78.96
0,3,3,70.25,74.94,68.59,75.42
0,3,4,68.63,74.94,70.98,80.07
1,0,0,49.1,0.0,0.0,0.0
1,0,1,49.1,0.0,0.0,0.0
1,0,2,49.1,0.0,0.0,0.0
1,0,3,94.59,0.0,0.0,0.0
1,0,4,94.44,0.0,0.0,0.0
1,1,0,93.69,55.09,0.0,0.0
1,1,1,94.29,67.65,0.0,0.0
1,1,2,94.14,67.99,0.0,0.0
1,1,3,96.1,73.42,0.0,0.0
1,1,4,94.74,80.09,0.0,0.0
1,2,0,96.55,42.65,51.72,0.0
1,2,1,94.29,62.44,78.02,0.0
1,2,2,94.74,69.12,84.46,0.0
1,2,3,94.44,69.57,85.02,0.0
1,2,4,93.99,71.04,88.35,0.0
1,3,0,91.14,65.5,59.82,52.82
1,3,1,89.64,60.18,75.8,63.98
1,3,2,83.03,59.16,76.36,75.36
1,3,3,83.93,59.95,80.02,77.68
1,3,4,87.09,62.22,79.36,80.0
2,0,0,68.3,0.0,0.0,0.0
2,0,1,75.56,0.0,0.0,0.0
2,0,2,74.37,0.0,0.0,0.0
2,0,3,79.41,0.0,0.0,0.0
2,0,4,80.3,0.0,0.0,0.0
2,1,0,73.93,44.94,0.0,0.0
2,1,1,74.67,80.9,0.0,0.0
2,1,2,74.22,80.79,0.0,0.0
2,1,3,74.07,80.56,0.0,0.0
2,1,4,68.15,79.33,0.0,0.0
2,2,0,53.04,47.87,43.39,0.0
2,2,1,47.7,40.56,76.38,0.0
2,2,2,50.52,44.04,77.51,0.0
2,2,3,58.22,45.17,80.9,0.0
2,2,4,62.22,52.47,81.13,0.0
2,3,0,58.52,55.62,75.59,67.7
2,3,1,53.48,51.91,74.69,76.44
2,3,2,58.22,50.56,75.14,77.21
2,3,3,50.22,52.47,73.9,80.75
2,3,4,50.52,52.92,74.69,80.97
3,0,0,52.56,0.0,0.0,0.0
3,0,1,83.13,0.0,0.0,0.0
3,0,2,82.68,0.0,0.0,0.0
3,0,3,85.69,0.0,0.0,0.0
3,0,4,87.05,0.0,0.0,0.0
3,1,0,72.44,77.05,0.0,0.0
3,1,1,78.46,83.7,0.0,0.0
3,1,2,79.52,85.81,0.0,0.0
3,1,3,78.01,89.91,0.0,0.0
3,1,4,78.16,90.24,0.0,0.0
3,2,0,61.6,68.96,62.11,0.0
3,2,1,58.73,74.28,75.67,0.0
3,2,2,58.58,77.05,78.59,0.0
3,2,3,58.73,77.72,78.92,0.0
3,2,4,59.49,77.83,79.37,0.0
3,3,0,63.55,71.95,62.0,49.11
3,3,1,56.02,76.27,65.58,73.39
3,3,2,56.78,69.51,70.63,75.17
3,3,3,42.77,71.84,68.16,81.4
3,3,4,43.67,75.06,79.93,85.3
4,0,0,50.3,0.0,0.0,0.0
4,0,1,50.3,0.0,0.0,0.0
4,0,2,50.3,0.0,0.0,0.0
4,0,3,50.3,0.0,0.0,0.0
4,0,4,50.3,0.0,0.0,0.0
4,1,0,75.68,61.77,0.0,0.0
4,1,1,82.58,75.91,0.0,0.0
4,1,2,82.28,76.13,0.0,0.0
4,1,3,82.28,76.57,0.0,0.0
4,1,4,81.83,77.02,0.0,0.0
4,2,0,80.48,64.53,40.44,0.0
4,2,1,74.77,72.38,68.29,0.0
4,2,2,69.97,58.45,67.62,0.0
4,2,3,74.02,62.76,69.94,0.0
4,2,4,73.87,61.99,69.83,0.0
4,3,0,77.03,59.23,47.4,61.85
4,3,1,66.82,57.68,57.68,71.78
4,3,2,70.12,58.34,60.22,71.78
4,3,3,65.02,55.25,62.21,79.01
4,3,4,69.07,55.47,61.44,80.7
