run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,51.69,0.0,0.0,0.0
0,0,1,90.72,0.0,0.0,0.0
0,0,2,91.9,0.0,0.0,0.0
0,0,3,91.9,0.0,0.0,0.0
0,0,4,88.37,0.0,0.0,0.0
0,1,0,77.61,64.16,0.0,0.0
0,1,1,81.74,83.48,0.0,0.0
0,1,2,82.62,84.49,0.0,0.0
0,1,3,90.57,90.0,0.0,0.0
0,1,4,90.28,90.45,0.0,0.0
0,2,0,82.62,82.7,40.59,0.0
0,2,1,80.27,82.13,71.09,0.0
0,2,2,80.12,82.81,70.75,0.0
0,2,3,80.27,82.81,70.86,0.0
0,2,4,79.82,82.81,70.86,0.0
0,3,0,80.12,78.65,54.42,23.03
0,3,1,56.55,62.02,63.61,71.43
0,3,2,66.27,67.87,63.38,72.76
0,3,3,60.53,69.66,68.93,77.19
0,3,4,68.19,69.78,68.82,83.28
1,0,0,49.1,0.0,0.0,0.0
1,0,1,49.1,0.0,0.0,0.0
1,0,2,49.1,0.0,0.0,0.0
1,0,3,94.44,0.0,0.0,0.0
1,0,4,94.29,0.0,0.0,0.0
1,1,0,84.23,59.16,0.0,0.0
1,1,1,77.48,75.11,0.0,0.0
1,1,2,77.48,75.45,0.0,0.0
1,1,3,85.14,75.68,0.0,0.0
1,1,4,88.29,77.83,0.0,0.0
1,2,0,72.07,68.21,58.16,0.0
1,2,1,75.53,63.46,86.79,0.0
1,2,2,75.08,63.57,87.13,0.0
1,2,3,74.62,63.35,87.13,0.0
1,2,4,71.02,70.7,88.35,0.0
1,3,0,73.72,61.76,85.9,50.94
1,3,1,73.42,62.1,85.57,55.69
1,3,2,71.62,61.31,83.35,58.45
1,3,3,69.37,57.81,80.13,68.51
1,3,4,69.67,57.81,80.8,73.48
2,0,0,81.19,0.0,0.0,0.0
2,0,1,76.15,0.0,0.0,0.0
2,0,2,77.19,0.0,0.0,0.0
2,0,3,82.07,0.0,0.0,0.0
2,0,4,81.78,0.0,0.0,0.0
2,1,0,83.11,31.24,0.0,0.0
2,1,1,61.78,76.07,0.0,0.0
2,1,2,64.89,79.21,0.0,0.0
2,1,3,67.11,81.91,0.0,0.0
2,1,4,80.0,79.78,0.0,0.0
2,2,0,80.3,57.98,36.5,0.0
2,2,1,72.59,57.19,81.36,0.0
2,2,2,73.19,60.79,84.41,0.0
2,2,3,68.0,74.72,86.55,0.0
2,2,4,67.7,74.49,86.67,0.0
2,3,0,65.63,70.67,77.51,65.04
2,3,1,60.3,60.34,73.22,83.63
2,3,2,68.0,63.71,82.94,85.95
2,3,3,68.3,63.71,83.16,86.06
2,3,4,68.3,64.38,83.16,86.28
3,0,0,76.66,0.0,0.0,0.0
3,0,1,74.85,0.0,0.0,0.0
3,0,2,72.59,0.0,0.0,0.0
3,0,3,71.23,0.0,0.0,0.0
3,0,4,82.83,0.0,0.0,0.0
3,1,0,71.84,22.95,0.0,0.0
3,1,1,66.42,89.58,0.0,0.0
3,1,2,66.27,89.36,0.0,0.0
3,1,3,74.4,89.25,0.0,0.0
3,1,4,73.95,90.58,0.0,0.0
3,2,0,70.33,84.26,48.09,0.0
3,2,1,55.12,64.19,77.47,0.0
3,2,2,52.11,73.28,81.5,0.0
3,2,3,53.46,73.73,81.61,0.0
3,2,4,54.52,74.72,81.28,0.0
3,3,0,67.17,83.04,68.39,54.79
3,3,1,58.13,74.61,66.7,77.06
3,3,2,53.16,70.95,70.96,80.4
3,3,3,61.14,74.5,66.82,84.3
3,3,4,46.39,73.73,75.11,86.64
4,0,0,50.3,0.0,0.0,0.0
4,0,1,91.29,0.0,0.0,0.0
4,0,2,93.99,0.0,0.0,0.0
4,0,3,94.59,0.0,0.0,0.0
4,0,4,94.89,0.0,0.0,0.0
4,1,0,80.03,66.85,0.0,0.0
4,1,1,86.04,84.42,0.0,0.0
4,1,2,87.39,85.97,0.0,0.0
4,1,3,85.44,86.08,0.0,0.0
4,1,4,84.98,87.85,0.0,0.0
4,2,0,73.42,73.92,43.87,0.0
4,2,1,68.77,67.07,72.82,0.0
4,2,2,73.57,69.94,71.82,0.0
4,2,3,74.17,71.27,71.6,0.0
4,2,4,74.77,72.15,72.38,0.0
4,3,0,69.07,77.46,68.29,39.95
4,3,1,74.32,76.46,60.99,76.07
4,3,2,74.62,77.24,60.99,78.22
4,3,3,67.87,71.93,62.21,78.56
4,3,4,69.37,76.02,64.31,78.22
