run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,51.69,0.0,0.0,0.0
0,0,1,90.72,0.0,0.0,0.0
0,0,2,91.9,0.0,0.0,0.0
0,0,3,91.9,0.0,0.0,0.0
0,0,4,88.37,0.0,0.0,0.0
0,1,0,79.23,65.51,0.0,0.0
0,1,1,72.02,84.61,0.0,0.0
0,1,2,77.91,90.34,0.0,0.0
0,1,3,78.65,90.67,0.0,0.0
0,1,4,82.47,92.13,0.0,0.0
0,2,0,84.09,90.34,30.73,0.0
0,2,1,69.96,67.53,73.13,0.0
0,2,2,72.46,70.45,75.51,0.0
0,2,3,75.55,74.27,77.78,0.0
0,2,4,76.29,74.38,77.78,0.0
0,3,0,85.71,82.25,62.24,56.26
0,3,1,71.72,71.8,71.66,75.19
0,3,2,68.63,70.0,68.59,74.09
0,3,3,71.13,58.31,73.58,86.82
0,3,4,70.54,52.36,62.7,83.39
1,0,0,49.1,0.0,0.0,0.0
1,0,1,49.1,0.0,0.0,0.0
1,0,2,49.1,0.0,0.0,0.0
1,0,3,94.44,0.0,0.0,0.0
1,0,4,94.29,0.0,0.0,0.0
1,1,0,86.49,62.56,0.0,0.0
1,1,1,85.44,59.28,0.0,0.0
1,1,2,86.34,74.55,0.0,0.0
1,1,3,86.79,75.23,0.0,0.0
1,1,4,88.14,74.43,0.0,0.0
1,2,0,83.93,60.07,75.69,0.0
1,2,1,79.73,58.03,82.91,0.0
1,2,2,79.88,58.82,83.13,0.0
1,2,3,79.73,59.39,83.68,0.0
1,2,4,78.38,61.31,83.35,0.0
1,3,0,77.18,57.47,83.46,28.95
1,3,1,78.98,58.48,84.02,35.03
1,3,2,78.83,58.26,84.13,35.47
1,3,3,78.08,56.22,76.58,59.89
1,3,4,80.78,53.39,80.47,71.82
2,0,0,81.19,0.0,0.0,0.0
2,0,1,76.15,0.0,0.0,0.0
2,0,2,77.19,0.0,0.0,0.0
2,0,3,82.07,0.0,0.0,0.0
2,0,4,81.78,0.0,0.0,0.0
2,1,0,73.48,47.98,0.0,0.0
2,1,1,59.26,74.38,0.0,0.0
2,1,2,59.41,74.72,0.0,0.0
2,1,3,60.15,75.06,0.0,0.0
2,1,4,76.3,81.01,0.0,0.0
2,2,0,70.96,52.13,75.25,0.0
2,2,1,64.89,46.4,76.5,0.0
2,2,2,68.44,47.3,80.0,0.0
2,2,3,68.89,48.09,80.34,0.0
2,2,4,68.3,48.76,80.45,0.0
2,3,0,66.96,60.79,71.3,73.45
2,3,1,63.41,58.88,75.59,76.0
2,3,2,56.15,56.63,75.59,84.62
2,3,3,53.33,54.04,75.03,85.4
2,3,4,53.63,52.92,77.18,87.83
3,0,0,76.66,0.0,0.0,0.0
3,0,1,74.85,0.0,0.0,0.0
3,0,2,72.59,0.0,0.0,0.0
3,0,3,71.23,0.0,0.0,0.0
3,0,4,82.83,0.0,0.0,0.0
3,1,0,65.06,75.17,0.0,0.0
3,1,1,60.54,88.91,0.0,0.0
3,1,2,60.24,88.91,0.0,0.0
3,1,3,62.8,89.58,0.0,0.0
3,1,4,62.5,89.58,0.0,0.0
3,2,0,57.53,80.04,76.79,0.0
3,2,1,55.42,86.59,86.1,0.0
3,2,2,51.66,81.93,86.43,0.0
3,2,3,51.2,82.82,87.44,0.0
3,2,4,48.19,81.6,89.13,0.0
3,3,0,56.48,79.27,81.5,48.22
3,3,1,49.4,66.96,84.98,83.3
3,3,2,49.55,67.18,84.98,83.18
3,3,3,48.04,61.53,80.27,83.07
3,3,4,53.46,65.19,80.27,86.86
4,0,0,50.3,0.0,0.0,0.0
4,0,1,91.29,0.0,0.0,0.0
4,0,2,93.99,0.0,0.0,0.0
4,0,3,94.59,0.0,0.0,0.0
4,0,4,94.89,0.0,0.0,0.0
4,1,0,86.64,79.23,0.0,0.0
4,1,1,86.19,79.12,0.0,0.0
4,1,2,86.79,82.98,0.0,0.0
4,1,3,86.64,84.75,0.0,0.0
4,1,4,86.64,84.86,0.0,0.0
4,2,0,60.66,63.2,47.4,0.0
4,2,1,74.77,76.13,72.04,0.0
4,2,2,66.22,77.68,69.28,0.0
4,2,3,75.53,84.09,80.88,0.0
4,2,4,75.38,84.2,80.88,0.0
4,3,0,62.91,71.38,52.15,52.48
4,3,1,61.56,74.59,65.3,79.35
4,3,2,63.51,75.91,65.64,80.47
4,3,3,65.77,76.24,65.3,81.38
4,3,4,65.77,76.91,65.86,81.83
