run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,77.48,0.0,0.0,0.0
0,0,1,98.9,0.0,0.0,0.0
0,0,2,99.23,0.0,0.0,0.0
0,1,0,85.21,87.1,0.0,0.0
0,1,1,69.54,98.08,0.0,0.0
0,1,2,77.15,99.89,0.0,0.0
0,2,0,48.9,91.74,88.66,0.0
0,2,1,48.9,91.06,88.66,0.0
0,2,2,49.01,91.52,88.55,0.0
0,3,0,48.57,66.63,44.67,82.75
0,3,1,49.12,67.08,41.72,89.01
0,3,2,48.57,47.96,46.26,94.18
1,0,0,98.43,0.0,0.0,0.0
1,0,1,98.99,0.0,0.0,0.0
1,0,2,99.1,0.0,0.0,0.0
1,1,0,93.14,80.27,0.0,0.0
1,1,1,94.38,90.48,0.0,0.0
1,1,2,90.1,94.1,0.0,0.0
1,2,0,88.98,79.59,96.03,0.0
1,2,1,82.68,77.1,99.78,0.0
1,2,2,69.4,80.16,99.89,0.0
1,3,0,53.54,44.33,98.68,84.4
1,3,1,51.63,37.53,96.14,91.15
1,3,2,49.83,31.41,50.39,98.01
2,0,0,89.57,0.0,0.0,0.0
2,0,1,96.56,0.0,0.0,0.0
2,0,2,98.56,0.0,0.0,0.0
2,1,0,84.68,76.3,0.0,0.0
2,1,1,85.46,75.85,0.0,0.0
2,1,2,74.69,90.18,0.0,0.0
2,2,0,78.58,47.63,92.32,0.0
2,2,1,78.91,82.84,94.8,0.0
2,2,2,72.25,47.63,97.63,0.0
2,3,0,60.71,35.55,93.9,81.21
2,3,1,54.94,30.02,78.76,93.96
2,3,2,55.49,30.7,80.68,93.85
3,0,0,73.48,0.0,0.0,0.0
3,0,1,74.27,0.0,0.0,0.0
3,0,2,78.22,0.0,0.0,0.0
3,1,0,70.88,97.46,0.0,0.0
3,1,1,14.22,100.0,0.0,0.0
3,1,2,26.64,99.89,0.0,0.0
3,2,0,70.54,47.85,72.6,0.0
3,2,1,68.51,45.76,93.69,0.0
3,2,2,70.43,45.09,95.38,0.0
3,3,0,47.86,44.87,48.48,83.7
3,3,1,67.04,44.76,56.48,91.91
3,3,2,45.03,43.66,47.58,98.0
4,0,0,94.71,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,98.88,77.47,0.0,0.0
4,1,1,92.69,95.05,0.0,0.0
4,1,2,91.56,96.81,0.0,0.0
4,2,0,76.72,67.25,82.72,0.0
4,2,1,81.21,69.89,81.84,0.0
4,2,2,90.21,65.6,89.59,0.0
4,3,0,92.01,52.64,59.03,97.05
4,3,1,91.0,80.99,35.11,97.84
4,3,2,92.24,82.86,38.1,98.18
