run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,77.48,0.0,0.0,0.0
0,0,1,98.9,0.0,0.0,0.0
0,0,2,99.23,0.0,0.0,0.0
0,1,0,76.93,89.48,0.0,0.0
0,1,1,65.45,98.53,0.0,0.0
0,1,2,67.33,98.87,0.0,0.0
0,2,0,82.34,94.23,74.6,0.0
0,2,1,68.98,90.27,82.54,0.0
0,2,2,67.66,77.04,91.95,0.0
0,3,0,64.35,72.85,73.02,88.57
0,3,1,76.05,78.05,80.39,93.3
0,3,2,74.83,79.41,85.94,93.85
1,0,0,98.43,0.0,0.0,0.0
1,0,1,98.99,0.0,0.0,0.0
1,0,2,99.1,0.0,0.0,0.0
1,1,0,93.48,81.29,0.0,0.0
1,1,1,85.38,95.12,0.0,0.0
1,1,2,82.9,95.92,0.0,0.0
1,2,0,88.75,70.29,97.35,0.0
1,2,1,86.73,84.35,99.89,0.0
1,2,2,88.75,80.16,99.78,0.0
1,3,0,91.45,75.4,95.37,76.33
1,3,1,84.48,37.41,92.39,86.73
1,3,2,85.15,50.79,94.38,96.13
2,0,0,89.57,0.0,0.0,0.0
2,0,1,96.56,0.0,0.0,0.0
2,0,2,98.56,0.0,0.0,0.0
2,1,0,76.14,76.64,0.0,0.0
2,1,1,65.93,83.86,0.0,0.0
2,1,2,46.5,88.04,0.0,0.0
2,2,0,70.92,82.73,95.48,0.0
2,2,1,64.26,69.07,98.76,0.0
2,2,2,63.71,70.65,98.87,0.0
2,3,0,68.59,60.95,94.58,74.18
2,3,1,61.49,70.2,96.84,87.58
2,3,2,78.25,63.09,86.55,93.19
3,0,0,73.48,0.0,0.0,0.0
3,0,1,74.27,0.0,0.0,0.0
3,0,2,78.22,0.0,0.0,0.0
3,1,0,40.97,98.46,0.0,0.0
3,1,1,47.4,99.89,0.0,0.0
3,1,2,67.27,99.89,0.0,0.0
3,2,0,75.28,99.78,80.61,0.0
3,2,1,74.04,98.24,91.66,0.0
3,2,2,72.46,96.03,94.48,0.0
3,3,0,63.66,98.46,86.58,83.59
3,3,1,61.96,85.45,75.08,88.03
3,3,2,67.16,96.47,80.95,96.23
4,0,0,94.71,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,97.86,73.96,0.0,0.0
4,1,1,96.18,96.92,0.0,0.0
4,1,2,92.58,97.58,0.0,0.0
4,2,0,91.45,93.08,80.51,0.0
4,2,1,90.78,88.79,82.83,0.0
4,2,2,90.21,76.81,85.71,0.0
4,3,0,93.93,91.1,72.31,90.34
4,3,1,91.79,77.58,74.42,98.07
4,3,2,86.61,79.89,71.1,97.73
