run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,91.06,93.44,0.0,0.0
0,1,1,92.38,93.1,0.0,0.0
0,1,2,85.54,98.53,0.0,0.0
0,2,0,57.62,96.15,66.33,0.0
0,2,1,44.81,91.86,88.21,0.0
0,2,2,73.29,86.31,93.2,0.0
0,3,0,63.25,66.4,75.62,43.63
0,3,1,27.15,75.68,70.52,74.95
0,3,2,41.72,85.97,48.64,84.4
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,90.66,72.45,0.0,0.0
1,1,1,83.8,88.32,0.0,0.0
1,1,2,80.54,88.44,0.0,0.0
1,2,0,80.2,57.26,92.06,0.0
1,2,1,71.99,64.17,99.78,0.0
1,2,2,75.37,61.68,99.78,0.0
1,3,0,45.67,42.06,47.96,78.1
1,3,1,47.92,40.48,37.82,83.85
1,3,2,45.44,30.84,47.63,94.8
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,65.15,82.05,0.0,0.0
2,1,1,67.59,81.94,0.0,0.0
2,1,2,67.81,81.94,0.0,0.0
2,2,0,49.61,78.78,93.9,0.0
2,2,1,48.61,59.93,95.59,0.0
2,2,2,47.06,52.03,99.1,0.0
2,3,0,43.95,39.5,62.94,73.85
2,3,1,48.28,22.8,65.99,81.76
2,3,2,46.61,23.93,72.77,87.8
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,63.77,94.6,0.0,0.0
3,1,1,60.95,98.9,0.0,0.0
3,1,2,69.3,100.0,0.0,0.0
3,2,0,71.56,35.28,80.61,0.0
3,2,1,72.01,35.06,81.06,0.0
3,2,2,67.16,39.47,93.01,0.0
3,3,0,26.07,41.57,56.48,90.58
3,3,1,22.46,42.12,53.33,93.24
3,3,2,45.15,47.63,47.58,95.12
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,74.35,88.24,0.0,0.0
4,1,1,62.54,95.71,0.0,0.0
4,1,2,65.8,94.84,0.0,0.0
4,2,0,66.93,88.9,44.63,0.0
4,2,1,75.7,93.19,56.7,0.0
4,2,2,66.59,86.59,68.55,0.0
4,3,0,81.55,48.79,35.55,89.43
4,3,1,78.52,45.82,39.65,91.36
4,3,2,74.69,48.79,52.71,97.05
