run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,85.98,88.91,0.0,0.0
0,1,1,81.79,95.59,0.0,0.0
0,1,2,88.63,96.95,0.0,0.0
0,2,0,88.19,92.42,66.89,0.0
0,2,1,82.78,96.49,81.97,0.0
0,2,2,68.32,83.6,94.67,0.0
0,3,0,82.23,86.09,89.23,60.22
0,3,1,79.36,83.6,87.87,83.19
0,3,2,75.94,81.0,83.56,84.84
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,84.25,80.61,0.0,0.0
1,1,1,87.74,86.39,0.0,0.0
1,1,2,86.16,94.44,0.0,0.0
1,2,0,79.98,78.68,85.56,0.0
1,2,1,74.69,84.24,95.7,0.0
1,2,2,64.34,79.14,98.68,0.0
1,3,0,64.9,61.79,75.3,56.42
1,3,1,80.65,61.22,88.53,82.08
1,3,2,80.99,61.34,87.98,80.97
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,56.94,82.51,0.0,0.0
2,1,1,59.6,80.47,0.0,0.0
2,1,2,62.04,79.46,0.0,0.0
2,2,0,65.48,74.27,96.05,0.0
2,2,1,77.14,71.56,98.87,0.0
2,2,2,77.25,71.78,98.87,0.0
2,3,0,50.83,64.45,63.73,80.66
2,3,1,51.05,63.77,73.9,80.33
2,3,2,52.16,63.21,80.68,80.22
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,69.19,95.26,0.0,0.0
3,1,1,66.7,99.78,0.0,0.0
3,1,2,69.53,100.0,0.0,0.0
3,2,0,62.08,59.87,80.5,0.0
3,2,1,62.87,92.83,95.15,0.0
3,2,2,62.75,91.95,95.49,0.0
3,3,0,68.74,92.39,83.77,86.25
3,3,1,58.35,93.72,85.23,94.24
3,3,2,60.5,94.38,86.02,93.79
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,81.33,88.24,0.0,0.0
4,1,1,81.21,88.9,0.0,0.0
4,1,2,89.76,95.93,0.0,0.0
4,2,0,74.24,84.29,72.43,0.0
4,2,1,72.55,85.49,73.2,0.0
4,2,2,69.97,86.04,74.53,0.0
4,3,0,73.57,59.67,19.05,91.82
4,3,1,68.73,76.81,62.35,90.45
4,3,2,66.7,67.03,30.01,97.95
