run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,91.06,93.44,0.0,0.0
0,1,1,92.49,92.99,0.0,0.0
0,1,2,84.22,96.27,0.0,0.0
0,2,0,36.75,93.89,67.23,0.0
0,2,1,45.36,92.31,83.79,0.0
0,2,2,68.21,87.1,88.89,0.0
0,3,0,51.1,76.7,84.58,48.79
0,3,1,36.31,84.28,81.41,73.52
0,3,2,45.58,84.28,47.51,90.77
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,90.66,72.45,0.0,0.0
1,1,1,87.4,90.7,0.0,0.0
1,1,2,88.86,91.27,0.0,0.0
1,2,0,94.94,61.0,94.82,0.0
1,2,1,91.68,61.0,99.56,0.0
1,2,2,75.82,53.4,99.89,0.0
1,3,0,53.21,43.31,46.97,80.97
1,3,1,54.33,37.87,48.84,94.25
1,3,2,48.93,33.79,47.19,96.46
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,65.15,82.05,0.0,0.0
2,1,1,66.81,82.51,0.0,0.0
2,1,2,62.04,79.91,0.0,0.0
2,2,0,50.17,67.72,95.82,0.0
2,2,1,64.82,79.01,97.4,0.0
2,2,2,49.28,65.35,99.66,0.0
2,3,0,47.17,67.49,91.98,76.92
2,3,1,40.95,39.62,76.05,82.09
2,3,2,42.4,42.1,78.87,81.98
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,63.77,94.6,0.0,0.0
3,1,1,58.58,99.89,0.0,0.0
3,1,2,57.56,100.0,0.0,0.0
3,2,0,76.07,27.12,78.47,0.0
3,2,1,75.62,29.55,79.59,0.0
3,2,2,75.28,29.44,80.83,0.0
3,3,0,51.58,31.97,40.14,85.14
3,3,1,69.64,43.77,47.46,87.25
3,3,2,42.78,41.35,46.79,95.45
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,74.35,88.24,0.0,0.0
4,1,1,74.92,93.63,0.0,0.0
4,1,2,74.13,94.4,0.0,0.0
4,2,0,64.34,95.49,68.88,0.0
4,2,1,61.64,96.59,79.73,0.0
4,2,2,75.37,80.77,86.16,0.0
4,3,0,74.02,45.27,45.74,91.82
4,3,1,81.21,49.01,56.48,97.95
4,3,2,80.65,49.23,56.26,98.18
