run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,85.98,88.91,0.0,0.0
0,1,1,91.17,97.96,0.0,0.0
0,1,2,75.28,98.64,0.0,0.0
0,2,0,89.51,94.8,66.1,0.0
0,2,1,85.43,82.13,70.18,0.0
0,2,2,82.89,86.09,90.02,0.0
0,3,0,79.58,72.96,80.39,50.77
0,3,1,83.44,78.17,67.8,81.65
0,3,2,72.74,80.32,61.45,93.19
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,84.25,80.61,0.0,0.0
1,1,1,90.44,92.86,0.0,0.0
1,1,2,89.54,93.2,0.0,0.0
1,2,0,82.45,84.24,83.46,0.0
1,2,1,79.64,82.88,98.57,0.0
1,2,2,84.36,64.06,99.89,0.0
1,3,0,75.93,65.42,92.39,76.11
1,3,1,80.43,54.65,85.56,87.5
1,3,2,84.93,53.97,91.73,93.36
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,56.94,82.51,0.0,0.0
2,1,1,59.6,80.7,0.0,0.0
2,1,2,61.04,80.02,0.0,0.0
2,2,0,67.15,73.7,96.38,0.0
2,2,1,83.8,72.91,98.53,0.0
2,2,2,61.71,68.85,98.98,0.0
2,3,0,50.5,67.83,94.69,75.82
2,3,1,53.27,58.24,79.55,91.1
2,3,2,53.83,58.47,82.26,91.65
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,69.19,95.26,0.0,0.0
3,1,1,85.21,99.89,0.0,0.0
3,1,2,83.86,100.0,0.0,0.0
3,2,0,70.09,96.91,79.71,0.0
3,2,1,68.96,94.49,84.1,0.0
3,2,2,68.85,94.71,95.15,0.0
3,3,0,69.86,92.5,94.25,85.7
3,3,1,40.41,76.07,86.92,98.12
3,3,2,47.97,80.71,89.85,97.78
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,81.33,88.24,0.0,0.0
4,1,1,79.75,94.29,0.0,0.0
4,1,2,76.49,97.58,0.0,0.0
4,2,0,68.84,94.95,63.34,0.0
4,2,1,70.64,92.97,74.2,0.0
4,2,2,78.18,82.53,84.72,0.0
4,3,0,75.25,78.02,70.65,91.25
4,3,1,74.02,78.9,64.34,95.57
4,3,2,77.5,63.96,62.68,97.39
