run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,91.06,93.44,0.0,0.0
0,1,1,92.38,92.76,0.0,0.0
0,1,2,91.5,97.85,0.0,0.0
0,2,0,31.13,95.7,62.81,0.0
0,2,1,55.52,87.22,94.22,0.0
0,2,2,30.02,79.52,95.12,0.0
0,3,0,26.93,60.07,85.26,50.55
0,3,1,17.55,64.93,66.55,76.7
0,3,2,29.25,74.43,82.65,93.74
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,90.66,72.45,0.0,0.0
1,1,1,72.55,90.59,0.0,0.0
1,1,2,70.75,91.27,0.0,0.0
1,2,0,86.28,65.53,87.1,0.0
1,2,1,69.63,64.29,97.24,0.0
1,2,2,76.15,48.41,99.67,0.0
1,3,0,60.63,47.05,48.18,72.46
1,3,1,66.48,26.08,34.73,90.15
1,3,2,71.43,18.71,31.86,97.46
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,65.15,82.05,0.0,0.0
2,1,1,80.69,88.37,0.0,0.0
2,1,2,76.91,88.71,0.0,0.0
2,2,0,48.95,67.04,92.54,0.0
2,2,1,49.61,51.35,95.59,0.0
2,2,2,48.61,64.11,99.32,0.0
2,3,0,49.61,51.69,86.89,80.44
2,3,1,49.61,52.37,86.67,80.66
2,3,2,49.39,38.71,50.62,95.6
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,63.77,94.6,0.0,0.0
3,1,1,57.79,100.0,0.0,0.0
3,1,2,60.38,100.0,0.0,0.0
3,2,0,74.83,36.49,75.76,0.0
3,2,1,67.27,34.95,88.05,0.0
3,2,2,67.27,35.28,87.94,0.0
3,3,0,25.51,34.73,41.6,84.48
3,3,1,34.09,31.53,36.64,97.56
3,3,2,30.25,37.82,40.36,96.23
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,74.35,88.24,0.0,0.0
4,1,1,66.82,96.04,0.0,0.0
4,1,2,64.79,96.26,0.0,0.0
4,2,0,72.44,70.22,83.94,0.0
4,2,1,72.44,69.23,84.16,0.0
4,2,2,72.67,67.03,84.72,0.0
4,3,0,84.93,50.0,51.27,91.48
4,3,1,70.08,47.91,73.75,97.61
4,3,2,69.74,47.91,73.75,98.18
