run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,49.89,0.0,0.0,0.0
0,0,1,87.42,0.0,0.0,0.0
0,0,2,95.58,0.0,0.0,0.0
0,1,0,85.98,88.91,0.0,0.0
0,1,1,82.12,97.96,0.0,0.0
0,1,2,84.99,97.85,0.0,0.0
0,2,0,87.31,95.25,66.33,0.0
0,2,1,63.36,73.53,87.19,0.0
0,2,2,84.44,84.95,91.38,0.0
0,3,0,90.18,85.52,79.02,50.88
0,3,1,80.24,81.0,82.99,81.21
0,3,2,88.74,81.22,73.36,89.89
1,0,0,93.59,0.0,0.0,0.0
1,0,1,99.21,0.0,0.0,0.0
1,0,2,99.21,0.0,0.0,0.0
1,1,0,84.25,80.61,0.0,0.0
1,1,1,94.49,86.73,0.0,0.0
1,1,2,92.58,88.44,0.0,0.0
1,2,0,85.04,78.34,94.71,0.0
1,2,1,88.86,77.55,99.23,0.0
1,2,2,88.41,78.23,99.23,0.0
1,3,0,73.9,57.82,63.51,56.31
1,3,1,88.3,62.24,90.96,76.0
1,3,2,88.08,63.83,90.74,75.33
2,0,0,88.46,0.0,0.0,0.0
2,0,1,88.35,0.0,0.0,0.0
2,0,2,88.35,0.0,0.0,0.0
2,1,0,56.94,82.51,0.0,0.0
2,1,1,61.93,79.8,0.0,0.0
2,1,2,59.71,82.84,0.0,0.0
2,2,0,68.26,73.14,94.58,0.0
2,2,1,61.04,65.8,97.85,0.0
2,2,2,64.82,65.8,97.63,0.0
2,3,0,70.48,57.67,77.63,85.16
2,3,1,66.48,57.79,80.11,85.6
2,3,2,64.93,60.05,83.84,87.25
3,0,0,77.65,0.0,0.0,0.0
3,0,1,87.36,0.0,0.0,0.0
3,0,2,87.7,0.0,0.0,0.0
3,1,0,69.19,95.26,0.0,0.0
3,1,1,83.41,99.78,0.0,0.0
3,1,2,51.58,99.89,0.0,0.0
3,2,0,65.58,89.97,81.96,0.0
3,2,1,64.67,98.46,91.32,0.0
3,2,2,69.19,83.9,92.45,0.0
3,3,0,55.64,66.04,86.13,78.38
3,3,1,34.65,45.2,92.0,89.25
3,3,2,37.13,89.64,93.24,93.13
4,0,0,98.09,0.0,0.0,0.0
4,0,1,99.55,0.0,0.0,0.0
4,0,2,99.55,0.0,0.0,0.0
4,1,0,81.33,88.24,0.0,0.0
4,1,1,80.54,89.01,0.0,0.0
4,1,2,90.44,96.81,0.0,0.0
4,2,0,60.97,84.07,72.76,0.0
4,2,1,60.85,85.38,74.09,0.0
4,2,2,60.97,86.15,75.08,0.0
4,3,0,76.38,69.45,65.45,94.32
4,3,1,84.93,67.47,54.49,96.14
4,3,2,80.65,64.73,64.12,99.09
