run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,59.79,0.0,0.0,0.0
0,0,1,91.9,0.0,0.0,0.0
0,0,2,97.5,0.0,0.0,0.0
0,0,3,98.82,0.0,0.0,0.0
0,0,4,99.12,0.0,0.0,0.0
0,1,0,88.95,79.66,0.0,0.0
0,1,1,88.95,82.25,0.0,0.0
0,1,2,92.34,94.61,0.0,0.0
0,1,3,90.72,95.62,0.0,0.0
0,1,4,91.02,95.62,0.0,0.0
0,2,0,83.06,86.07,49.89,0.0
0,2,1,86.01,84.27,67.12,0.0
0,2,2,72.9,82.13,80.16,0.0
0,2,3,62.74,80.56,77.55,0.0
0,2,4,68.78,82.7,80.16,0.0
0,3,0,70.99,74.83,70.63,69.32
0,3,1,81.74,71.57,65.99,83.39
0,3,2,70.4,66.29,64.63,83.39
0,3,3,76.29,71.01,69.84,85.94
0,3,4,76.44,71.46,70.07,86.16
1,0,0,52.85,0.0,0.0,0.0
1,0,1,50.15,0.0,0.0,0.0
1,0,2,50.15,0.0,0.0,0.0
1,0,3,50.15,0.0,0.0,0.0
1,0,4,90.69,0.0,0.0,0.0
1,1,0,88.89,68.44,0.0,0.0
1,1,1,83.03,80.88,0.0,0.0
1,1,2,83.63,86.65,0.0,0.0
1,1,3,83.48,86.43,0.0,0.0
1,1,4,86.94,88.12,0.0,0.0
1,2,0,82.73,72.62,70.59,0.0
1,2,1,84.68,78.05,86.9,0.0
1,2,2,84.08,77.71,87.01,0.0
1,2,3,84.98,79.64,89.9,0.0
1,2,4,83.18,75.57,90.9,0.0
1,3,0,70.12,69.46,85.24,51.27
1,3,1,69.52,69.8,87.01,58.9
1,3,2,75.53,73.76,89.01,66.08
1,3,3,75.83,74.89,89.12,67.51
1,3,4,78.98,70.25,83.91,76.57
2,0,0,61.33,0.0,0.0,0.0
2,0,1,57.78,0.0,0.0,0.0
2,0,2,70.96,0.0,0.0,0.0
2,0,3,71.7,0.0,0.0,0.0
2,0,4,75.11,0.0,0.0,0.0
2,1,0,79.56,69.1,0.0,0.0
2,1,1,79.56,69.44,0.0,0.0
2,1,2,79.85,74.04,0.0,0.0
2,1,3,78.96,78.88,0.0,0.0
2,1,4,79.11,78.88,0.0,0.0
2,2,0,62.52,65.51,61.13,0.0
2,2,1,65.48,73.26,69.49,0.0
2,2,2,58.96,66.63,76.95,0.0
2,2,3,58.67,66.97,77.18,0.0
2,2,4,58.52,67.08,77.18,0.0
2,3,0,51.56,62.25,78.19,60.51
2,3,1,35.56,66.29,75.37,75.66
2,3,2,35.11,65.51,75.59,79.65
2,3,3,32.89,65.39,76.05,85.62
2,3,4,33.63,65.51,75.93,85.62
3,0,0,86.75,0.0,0.0,0.0
3,0,1,86.6,0.0,0.0,0.0
3,0,2,85.39,0.0,0.0,0.0
3,0,3,85.09,0.0,0.0,0.0
3,0,4,84.94,0.0,0.0,0.0
3,1,0,62.95,63.08,0.0,0.0
3,1,1,75.45,75.28,0.0,0.0
3,1,2,79.67,88.25,0.0,0.0
3,1,3,87.35,94.35,0.0,0.0
3,1,4,87.2,94.12,0.0,0.0
3,2,0,83.73,79.05,56.05,0.0
3,2,1,58.28,82.04,73.43,0.0
3,2,2,59.49,81.82,73.43,0.0
3,2,3,56.78,67.96,86.66,0.0
3,2,4,65.96,80.04,86.21,0.0
3,3,0,68.22,56.98,66.93,67.59
3,3,1,55.57,60.2,68.83,75.5
3,3,2,59.04,56.98,68.16,81.29
3,3,3,60.99,57.87,73.32,83.74
3,3,4,61.9,56.98,77.47,84.63
4,0,0,52.7,0.0,0.0,0.0
4,0,1,48.8,0.0,0.0,0.0
4,0,2,48.8,0.0,0.0,0.0
4,0,3,48.8,0.0,0.0,0.0
4,0,4,48.8,0.0,0.0,0.0
4,1,0,65.92,77.13,0.0,0.0
4,1,1,71.62,80.77,0.0,0.0
4,1,2,75.08,83.76,0.0,0.0
4,1,3,77.48,87.96,0.0,0.0
4,1,4,75.08,89.61,0.0,0.0
4,2,0,66.82,63.43,50.5,0.0
4,2,1,68.77,72.71,65.41,0.0
4,2,2,68.17,71.05,67.73,0.0
4,2,3,67.57,64.64,70.94,0.0
4,2,4,68.77,69.72,74.92,0.0
4,3,0,73.72,54.25,59.12,64.67
4,3,1,61.86,31.38,44.2,75.51
4,3,2,72.07,42.65,64.53,85.21
4,3,3,72.07,42.32,64.42,85.44
4,3,4,69.37,41.99,65.3,86.68
