run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,59.79,0.0,0.0,0.0
0,0,1,91.9,0.0,0.0,0.0
0,0,2,97.5,0.0,0.0,0.0
0,0,3,98.82,0.0,0.0,0.0
0,0,4,99.12,0.0,0.0,0.0
0,1,0,96.17,72.47,0.0,0.0
0,1,1,93.96,89.55,0.0,0.0
0,1,2,92.05,90.45,0.0,0.0
0,1,3,92.64,93.26,0.0,0.0
0,1,4,91.75,95.51,0.0,0.0
0,2,0,93.23,78.2,58.05,0.0
0,2,1,88.22,75.96,68.48,0.0
0,2,2,87.92,79.55,72.9,0.0
0,2,3,81.3,79.78,75.62,0.0
0,2,4,81.3,80.0,75.74,0.0
0,3,0,79.68,73.48,61.11,52.05
0,3,1,65.54,54.61,60.88,72.09
0,3,2,74.96,58.99,62.24,76.41
0,3,3,69.37,60.34,65.42,81.62
0,3,4,67.3,48.43,67.46,83.28
1,0,0,52.85,0.0,0.0,0.0
1,0,1,50.15,0.0,0.0,0.0
1,0,2,50.15,0.0,0.0,0.0
1,0,3,50.15,0.0,0.0,0.0
1,0,4,90.69,0.0,0.0,0.0
1,1,0,81.83,54.52,0.0,0.0
1,1,1,91.44,71.95,0.0,0.0
1,1,2,89.49,81.33,0.0,0.0
1,1,3,82.73,85.52,0.0,0.0
1,1,4,83.03,86.09,0.0,0.0
1,2,0,89.94,79.3,67.15,0.0
1,2,1,83.78,67.76,80.47,0.0
1,2,2,84.38,73.42,85.13,0.0
1,2,3,87.24,75.23,87.9,0.0
1,2,4,86.94,76.58,89.46,0.0
1,3,0,87.39,79.3,83.24,50.72
1,3,1,87.24,79.3,83.46,50.83
1,3,2,89.49,79.07,83.13,52.93
1,3,3,81.68,65.38,75.8,61.77
1,3,4,84.08,67.08,77.58,75.69
2,0,0,61.33,0.0,0.0,0.0
2,0,1,57.78,0.0,0.0,0.0
2,0,2,70.96,0.0,0.0,0.0
2,0,3,71.7,0.0,0.0,0.0
2,0,4,75.11,0.0,0.0,0.0
2,1,0,80.44,60.0,0.0,0.0
2,1,1,78.22,73.48,0.0,0.0
2,1,2,81.63,76.07,0.0,0.0
2,1,3,80.3,76.07,0.0,0.0
2,1,4,81.19,77.42,0.0,0.0
2,2,0,69.19,63.37,70.85,0.0
2,2,1,69.04,63.93,70.51,0.0
2,2,2,69.19,64.72,70.4,0.0
2,2,3,61.63,66.52,84.52,0.0
2,2,4,62.52,66.52,84.86,0.0
2,3,0,65.19,62.47,74.12,67.81
2,3,1,59.41,56.52,81.58,75.11
2,3,2,68.15,59.21,80.56,85.62
2,3,3,68.44,58.54,80.45,88.38
2,3,4,59.7,46.18,80.0,89.93
3,0,0,86.75,0.0,0.0,0.0
3,0,1,86.6,0.0,0.0,0.0
3,0,2,85.39,0.0,0.0,0.0
3,0,3,85.09,0.0,0.0,0.0
3,0,4,84.94,0.0,0.0,0.0
3,1,0,70.03,51.0,0.0,0.0
3,1,1,75.6,81.71,0.0,0.0
3,1,2,72.14,90.13,0.0,0.0
3,1,3,71.99,88.91,0.0,0.0
3,1,4,73.34,88.91,0.0,0.0
3,2,0,63.25,56.87,66.14,0.0
3,2,1,50.0,65.08,82.06,0.0
3,2,2,48.95,63.19,84.19,0.0
3,2,3,35.84,75.06,90.92,0.0
3,2,4,36.14,75.39,91.14,0.0
3,3,0,60.54,57.98,76.01,65.48
3,3,1,46.39,43.35,65.02,86.19
3,3,2,44.58,46.78,75.22,90.87
3,3,3,45.03,46.34,79.82,90.87
3,3,4,47.44,48.45,79.93,92.98
4,0,0,52.7,0.0,0.0,0.0
4,0,1,48.8,0.0,0.0,0.0
4,0,2,48.8,0.0,0.0,0.0
4,0,3,48.8,0.0,0.0,0.0
4,0,4,48.8,0.0,0.0,0.0
4,1,0,87.39,69.28,0.0,0.0
4,1,1,87.39,75.36,0.0,0.0
4,1,2,85.89,72.6,0.0,0.0
4,1,3,81.68,91.05,0.0,0.0
4,1,4,81.08,91.27,0.0,0.0
4,2,0,81.08,83.76,54.92,0.0
4,2,1,78.68,85.19,75.69,0.0
4,2,2,77.33,92.04,78.01,0.0
4,2,3,77.03,91.82,78.01,0.0
4,2,4,77.03,91.93,78.23,0.0
4,3,0,62.31,70.61,58.34,62.98
4,3,1,79.13,83.54,68.84,77.2
4,3,2,70.87,76.91,67.29,80.93
4,3,3,75.08,79.45,69.5,88.6
4,3,4,71.77,65.97,68.62,87.81
