run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,82.67,0.0,0.0,0.0
0,0,1,94.92,0.0,0.0,0.0
0,0,2,94.81,0.0,0.0,0.0
0,0,3,94.81,0.0,0.0,0.0
0,0,4,94.15,0.0,0.0,0.0
0,1,0,50.0,90.05,0.0,0.0
0,1,1,40.51,94.68,0.0,0.0
0,1,2,41.83,97.85,0.0,0.0
0,1,3,45.25,98.64,0.0,0.0
0,1,4,53.97,99.66,0.0,0.0
0,2,0,58.17,95.14,31.52,0.0
0,2,1,69.43,72.29,70.18,0.0
0,2,2,81.9,78.05,83.79,0.0
0,2,3,81.57,77.94,84.01,0.0
0,2,4,80.46,78.62,87.3,0.0
0,3,0,79.8,71.04,64.63,75.71
0,3,1,71.3,74.1,66.1,90.33
0,3,2,71.19,70.59,65.31,93.74
0,3,3,69.32,75.68,63.15,95.49
0,3,4,69.09,75.45,63.38,95.71
1,0,0,49.16,0.0,0.0,0.0
1,0,1,91.23,0.0,0.0,0.0
1,0,2,96.96,0.0,0.0,0.0
1,0,3,96.96,0.0,0.0,0.0
1,0,4,97.08,0.0,0.0,0.0
1,1,0,85.04,73.92,0.0,0.0
1,1,1,85.49,74.04,0.0,0.0
1,1,2,83.46,79.59,0.0,0.0
1,1,3,75.48,88.32,0.0,0.0
1,1,4,75.59,89.0,0.0,0.0
1,2,0,88.19,68.14,96.36,0.0
1,2,1,80.09,77.66,99.56,0.0
1,2,2,82.0,68.71,99.78,0.0
1,2,3,81.66,74.15,99.89,0.0
1,2,4,78.07,75.96,99.89,0.0
1,3,0,76.27,72.11,96.47,48.01
1,3,1,64.34,72.11,93.72,71.24
1,3,2,49.16,69.84,85.34,85.62
1,3,3,51.18,70.07,84.9,85.95
1,3,4,62.43,66.33,74.97,90.49
2,0,0,57.71,0.0,0.0,0.0
2,0,1,49.61,0.0,0.0,0.0
2,0,2,80.13,0.0,0.0,0.0
2,0,3,86.24,0.0,0.0,0.0
2,0,4,92.45,0.0,0.0,0.0
2,1,0,61.71,74.72,0.0,0.0
2,1,1,58.27,86.79,0.0,0.0
2,1,2,58.27,87.36,0.0,0.0
2,1,3,57.82,87.36,0.0,0.0
2,1,4,58.38,88.26,0.0,0.0
2,2,0,44.62,63.77,74.8,0.0
2,2,1,51.94,50.34,98.08,0.0
2,2,2,53.39,59.71,99.1,0.0
2,2,3,53.16,57.79,99.32,0.0
2,2,4,54.83,57.67,99.1,0.0
2,3,0,52.28,65.12,74.35,81.76
2,3,1,50.83,65.01,83.39,88.02
2,3,2,50.72,65.12,83.39,88.02
2,3,3,50.5,64.79,83.28,88.02
2,3,4,50.5,64.67,83.62,88.57
3,0,0,69.19,0.0,0.0,0.0
3,0,1,58.92,0.0,0.0,0.0
3,0,2,54.63,0.0,0.0,0.0
3,0,3,69.19,0.0,0.0,0.0
3,0,4,72.23,0.0,0.0,0.0
3,1,0,51.35,68.58,0.0,0.0
3,1,1,72.23,99.67,0.0,0.0
3,1,2,60.72,99.67,0.0,0.0
3,1,3,68.06,100.0,0.0,0.0
3,1,4,68.74,100.0,0.0,0.0
3,2,0,59.37,93.38,73.84,0.0
3,2,1,64.79,88.75,89.18,0.0
3,2,2,65.91,85.01,91.88,0.0
3,2,3,61.4,81.26,95.15,0.0
3,2,4,67.72,73.1,95.38,0.0
3,3,0,61.63,84.79,50.73,88.14
3,3,1,63.32,83.79,50.17,89.69
3,3,2,63.21,84.01,50.28,89.58
3,3,3,63.32,84.12,50.85,89.58
3,3,4,62.75,74.31,48.82,94.68
4,0,0,57.14,0.0,0.0,0.0
4,0,1,87.74,0.0,0.0,0.0
4,0,2,96.4,0.0,0.0,0.0
4,0,3,97.3,0.0,0.0,0.0
4,0,4,97.41,0.0,0.0,0.0
4,1,0,79.64,76.26,0.0,0.0
4,1,1,86.61,93.08,0.0,0.0
4,1,2,86.05,93.19,0.0,0.0
4,1,3,77.62,97.8,0.0,0.0
4,1,4,77.28,97.91,0.0,0.0
4,2,0,74.47,65.16,70.1,0.0
4,2,1,78.63,50.11,80.4,0.0
4,2,2,69.07,72.86,80.4,0.0
4,2,3,74.02,72.53,84.27,0.0
4,2,4,78.18,65.05,90.81,0.0
4,3,0,75.7,71.98,64.34,82.27
4,3,1,77.73,61.76,66.67,93.18
4,3,2,75.93,65.49,63.12,96.59
4,3,3,69.63,49.23,58.8,96.7
4,3,4,69.4,51.87,55.59,98.41
