run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,83.65,0.0,0.0,0.0
0,0,1,92.78,0.0,0.0,0.0
0,0,2,85.71,0.0,0.0,0.0
0,0,3,88.07,0.0,0.0,0.0
0,0,4,92.78,0.0,0.0,0.0
0,1,0,83.65,81.35,0.0,0.0
0,1,1,75.11,85.39,0.0,0.0
0,1,2,77.61,86.85,0.0,0.0
0,1,3,83.36,89.55,0.0,0.0
0,1,4,85.86,92.13,0.0,0.0
0,2,0,89.54,74.04,50.34,0.0
0,2,1,77.32,67.98,72.0,0.0
0,2,2,77.03,67.64,71.77,0.0
0,2,3,77.03,68.43,71.66,0.0
0,2,4,74.37,70.34,74.15,0.0
0,3,0,76.88,76.74,60.66,31.78
0,3,1,73.93,75.96,64.29,67.0
0,3,2,75.26,70.0,72.68,66.11
0,3,3,73.49,65.39,74.83,81.28
0,3,4,68.78,63.71,74.6,83.5
1,0,0,49.25,0.0,0.0,0.0
1,0,1,90.39,0.0,0.0,0.0
1,0,2,95.95,0.0,0.0,0.0
1,0,3,96.4,0.0,0.0,0.0
1,0,4,96.1,0.0,0.0,0.0
1,1,0,58.71,48.08,0.0,0.0
1,1,1,68.17,72.29,0.0,0.0
1,1,2,84.53,78.17,0.0,0.0
1,1,3,87.09,84.84,0.0,0.0
1,1,4,85.59,87.9,0.0,0.0
1,2,0,61.56,65.84,77.36,0.0
1,2,1,56.61,70.02,89.46,0.0
1,2,2,55.26,76.13,91.9,0.0
1,2,3,54.2,75.68,92.56,0.0
1,2,4,56.31,65.5,90.23,0.0
1,3,0,52.25,65.61,88.9,36.57
1,3,1,55.56,60.75,87.35,69.39
1,3,2,56.01,57.92,88.01,72.15
1,3,3,56.61,55.66,86.13,78.78
1,3,4,56.46,54.52,86.46,82.1
2,0,0,81.63,0.0,0.0,0.0
2,0,1,80.89,0.0,0.0,0.0
2,0,2,81.33,0.0,0.0,0.0
2,0,3,81.33,0.0,0.0,0.0
2,0,4,81.33,0.0,0.0,0.0
2,1,0,67.7,63.48,0.0,0.0
2,1,1,67.41,78.54,0.0,0.0
2,1,2,66.96,78.2,0.0,0.0
2,1,3,82.22,79.21,0.0,0.0
2,1,4,83.41,85.51,0.0,0.0
2,2,0,78.37,84.83,43.5,0.0
2,2,1,66.67,74.83,56.95,0.0
2,2,2,58.07,78.76,88.7,0.0
2,2,3,56.59,79.1,88.93,0.0
2,2,4,55.7,78.76,88.81,0.0
2,3,0,59.7,78.54,83.62,45.02
2,3,1,46.07,62.13,88.36,81.75
2,3,2,45.19,69.89,84.75,86.17
2,3,3,50.37,71.91,87.68,90.49
2,3,4,50.96,71.91,88.47,90.93
3,0,0,66.72,0.0,0.0,0.0
3,0,1,75.6,0.0,0.0,0.0
3,0,2,79.52,0.0,0.0,0.0
3,0,3,77.86,0.0,0.0,0.0
3,0,4,84.79,0.0,0.0,0.0
3,1,0,83.43,42.9,0.0,0.0
3,1,1,81.63,81.82,0.0,0.0
3,1,2,81.33,81.93,0.0,0.0
3,1,3,71.99,91.24,0.0,0.0
3,1,4,75.3,92.35,0.0,0.0
3,2,0,67.47,80.49,52.58,0.0
3,2,1,62.8,84.92,69.39,0.0
3,2,2,73.49,89.25,72.98,0.0
3,2,3,67.02,86.25,85.31,0.0
3,2,4,60.84,72.51,86.55,0.0
3,3,0,71.69,74.06,66.48,62.14
3,3,1,56.78,59.31,69.39,80.07
3,3,2,57.08,65.19,80.72,86.3
3,3,3,42.32,57.76,82.29,87.19
3,3,4,40.96,63.64,83.52,90.65
4,0,0,50.3,0.0,0.0,0.0
4,0,1,50.3,0.0,0.0,0.0
4,0,2,50.3,0.0,0.0,0.0
4,0,3,50.3,0.0,0.0,0.0
4,0,4,50.3,0.0,0.0,0.0
4,1,0,73.42,83.87,0.0,0.0
4,1,1,74.17,84.09,0.0,0.0
4,1,2,90.54,89.17,0.0,0.0
4,1,3,90.24,89.17,0.0,0.0
4,1,4,92.04,90.72,0.0,0.0
4,2,0,74.92,72.6,46.74,0.0
4,2,1,78.98,87.73,75.47,0.0
4,2,2,66.52,85.52,80.0,0.0
4,2,3,66.22,85.75,80.88,0.0
4,2,4,66.37,85.52,81.1,0.0
4,3,0,70.57,74.92,69.94,49.55
4,3,1,66.52,76.35,62.76,68.85
4,3,2,62.76,70.5,71.38,82.39
4,3,3,62.91,74.36,75.36,77.88
4,3,4,63.81,74.25,75.58,78.44
