run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,82.67,0.0,0.0,0.0
0,0,1,94.92,0.0,0.0,0.0
0,0,2,94.81,0.0,0.0,0.0
0,0,3,94.81,0.0,0.0,0.0
0,0,4,94.15,0.0,0.0,0.0
0,1,0,50.0,90.05,0.0,0.0
0,1,1,40.51,94.68,0.0,0.0
0,1,2,35.76,98.64,0.0,0.0
0,1,3,35.87,98.64,0.0,0.0
0,1,4,41.28,99.43,0.0,0.0
0,2,0,59.05,87.22,57.48,0.0
0,2,1,79.8,80.77,64.29,0.0
0,2,2,78.04,87.78,72.0,0.0
0,2,3,67.55,77.49,89.34,0.0
0,2,4,68.98,75.9,89.23,0.0
0,3,0,78.15,76.02,59.86,72.09
0,3,1,68.32,70.14,61.45,91.43
0,3,2,63.13,74.66,59.41,92.53
0,3,3,62.91,74.55,59.98,92.53
0,3,4,62.8,74.43,60.2,92.64
1,0,0,49.16,0.0,0.0,0.0
1,0,1,91.23,0.0,0.0,0.0
1,0,2,96.96,0.0,0.0,0.0
1,0,3,96.96,0.0,0.0,0.0
1,0,4,97.08,0.0,0.0,0.0
1,1,0,85.04,73.92,0.0,0.0
1,1,1,85.49,74.04,0.0,0.0
1,1,2,88.41,88.78,0.0,0.0
1,1,3,86.73,90.7,0.0,0.0
1,1,4,86.84,90.7,0.0,0.0
1,2,0,86.84,70.41,97.91,0.0
1,2,1,84.93,69.84,99.34,0.0
1,2,2,86.61,74.83,99.12,0.0
1,2,3,87.51,76.3,99.12,0.0
1,2,4,85.15,75.06,99.56,0.0
1,3,0,80.76,67.23,86.44,59.4
1,3,1,76.15,65.42,86.0,72.9
1,3,2,76.72,50.11,94.49,75.55
1,3,3,75.82,70.18,88.64,89.6
1,3,4,75.37,70.07,88.2,89.93
2,0,0,57.71,0.0,0.0,0.0
2,0,1,49.61,0.0,0.0,0.0
2,0,2,80.13,0.0,0.0,0.0
2,0,3,86.24,0.0,0.0,0.0
2,0,4,92.45,0.0,0.0,0.0
2,1,0,61.71,74.72,0.0,0.0
2,1,1,38.62,88.6,0.0,0.0
2,1,2,39.73,88.71,0.0,0.0
2,1,3,41.62,88.94,0.0,0.0
2,1,4,42.95,88.94,0.0,0.0
2,2,0,67.81,60.72,82.82,0.0
2,2,1,64.04,63.77,94.01,0.0
2,2,2,63.37,64.79,96.84,0.0
2,2,3,63.26,64.33,98.76,0.0
2,2,4,63.6,63.88,98.31,0.0
2,3,0,52.05,64.45,62.94,80.44
2,3,1,53.27,56.43,75.59,92.53
2,3,2,52.94,57.56,75.82,92.86
2,3,3,52.39,58.47,76.61,93.3
2,3,4,53.16,60.5,75.82,95.16
3,0,0,69.19,0.0,0.0,0.0
3,0,1,58.92,0.0,0.0,0.0
3,0,2,54.63,0.0,0.0,0.0
3,0,3,69.19,0.0,0.0,0.0
3,0,4,72.23,0.0,0.0,0.0
3,1,0,51.35,68.58,0.0,0.0
3,1,1,72.57,99.56,0.0,0.0
3,1,2,59.03,99.89,0.0,0.0
3,1,3,67.83,99.89,0.0,0.0
3,1,4,66.93,100.0,0.0,0.0
3,2,0,52.37,89.53,71.93,0.0
3,2,1,48.65,90.96,83.43,0.0
3,2,2,48.31,91.07,84.1,0.0
3,2,3,49.44,90.85,84.22,0.0
3,2,4,50.45,90.96,84.22,0.0
3,3,0,65.35,87.76,45.55,86.92
3,3,1,65.46,87.65,45.55,87.03
3,3,2,65.35,87.76,45.77,87.03
3,3,3,48.08,72.88,42.95,94.57
3,3,4,49.32,73.32,43.4,94.57
4,0,0,57.14,0.0,0.0,0.0
4,0,1,87.74,0.0,0.0,0.0
4,0,2,96.4,0.0,0.0,0.0
4,0,3,97.3,0.0,0.0,0.0
4,0,4,97.41,0.0,0.0,0.0
4,1,0,79.64,76.26,0.0,0.0
4,1,1,86.39,91.65,0.0,0.0
4,1,2,85.94,91.76,0.0,0.0
4,1,3,85.83,91.76,0.0,0.0
4,1,4,86.05,91.87,0.0,0.0
4,2,0,64.9,57.14,62.02,0.0
4,2,1,76.72,41.98,83.06,0.0
4,2,2,76.83,42.75,83.28,0.0
4,2,3,78.52,47.47,85.27,0.0
4,2,4,78.07,47.8,85.27,0.0
4,3,0,76.04,62.64,41.97,84.66
4,3,1,75.03,62.64,47.84,94.66
4,3,2,70.08,65.49,45.96,96.59
4,3,3,73.0,70.44,46.18,97.73
4,3,4,74.8,65.6,54.37,98.52
