run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,0,2,86.75,0.0,0.0,0.0
0,0,3,97.13,0.0,0.0,0.0
0,0,4,99.67,0.0,0.0,0.0
0,1,0,54.3,90.5,0.0,0.0
0,1,1,54.75,89.37,0.0,0.0
0,1,2,52.65,97.62,0.0,0.0
0,1,3,53.42,99.21,0.0,0.0
0,1,4,52.76,99.55,0.0,0.0
0,2,0,51.55,86.99,47.62,0.0
0,2,1,56.29,84.84,71.32,0.0
0,2,2,59.27,60.52,80.39,0.0
0,2,3,58.94,61.76,81.29,0.0
0,2,4,59.71,61.76,81.86,0.0
0,3,0,50.44,69.34,53.4,75.27
0,3,1,48.9,67.08,65.76,83.41
0,3,2,46.91,65.5,52.61,90.55
0,3,3,48.01,64.48,63.04,92.64
0,3,4,48.12,63.46,64.74,92.75
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,88.08,0.0,0.0,0.0
1,0,4,91.56,0.0,0.0,0.0
1,1,0,87.96,20.63,0.0,0.0
1,1,1,80.54,71.2,0.0,0.0
1,1,2,83.35,82.31,0.0,0.0
1,1,3,80.54,89.91,0.0,0.0
1,1,4,81.55,91.95,0.0,0.0
1,2,0,83.69,65.42,97.46,0.0
1,2,1,73.34,51.13,99.01,0.0
1,2,2,78.29,57.26,99.45,0.0
1,2,3,78.63,58.05,99.45,0.0
1,2,4,78.97,58.96,99.45,0.0
1,3,0,83.8,58.05,82.47,66.26
1,3,1,82.79,45.35,72.55,72.35
1,3,2,82.45,46.71,74.97,72.12
1,3,3,78.97,67.8,89.86,80.42
1,3,4,78.85,46.94,81.92,90.04
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,0,2,76.14,0.0,0.0,0.0
2,0,3,88.01,0.0,0.0,0.0
2,0,4,87.57,0.0,0.0,0.0
2,1,0,80.58,80.7,0.0,0.0
2,1,1,83.02,85.21,0.0,0.0
2,1,2,86.46,84.76,0.0,0.0
2,1,3,86.13,85.1,0.0,0.0
2,1,4,86.24,87.92,0.0,0.0
2,2,0,84.02,75.73,75.59,0.0
2,2,1,81.02,45.03,91.64,0.0
2,2,2,80.47,46.28,95.25,0.0
2,2,3,79.91,48.65,95.14,0.0
2,2,4,76.8,45.49,98.98,0.0
2,3,0,78.69,65.91,72.99,83.85
2,3,1,79.02,66.7,73.33,84.29
2,3,2,81.24,67.04,73.67,88.24
2,3,3,66.48,70.09,81.24,91.21
2,3,4,66.04,70.2,81.02,91.1
3,0,0,87.58,0.0,0.0,0.0
3,0,1,86.57,0.0,0.0,0.0
3,0,2,88.15,0.0,0.0,0.0
3,0,3,88.26,0.0,0.0,0.0
3,0,4,91.08,0.0,0.0,0.0
3,1,0,71.44,93.27,0.0,0.0
3,1,1,62.64,99.89,0.0,0.0
3,1,2,64.11,99.89,0.0,0.0
3,1,3,67.38,99.89,0.0,0.0
3,1,4,68.06,99.89,0.0,0.0
3,2,0,51.47,94.05,73.84,0.0
3,2,1,58.47,95.92,73.73,0.0
3,2,2,59.03,97.35,75.65,0.0
3,2,3,72.46,90.08,83.99,0.0
3,2,4,49.21,80.6,91.77,0.0
3,3,0,73.59,96.36,72.38,82.71
3,3,1,65.46,66.59,54.57,91.02
3,3,2,66.82,65.93,49.83,92.9
3,3,3,66.25,78.94,61.1,97.78
3,3,4,65.24,84.56,58.96,97.78
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,1,0,19.12,80.88,0.0,0.0
4,1,1,41.73,86.81,0.0,0.0
4,1,2,43.76,93.3,0.0,0.0
4,1,3,72.1,95.93,0.0,0.0
4,1,4,71.54,96.26,0.0,0.0
4,2,0,68.05,67.14,51.05,0.0
4,2,1,73.23,83.74,73.53,0.0
4,2,2,69.63,70.66,80.95,0.0
4,2,3,69.07,71.87,81.06,0.0
4,2,4,69.07,73.63,80.73,0.0
4,3,0,72.55,76.15,44.08,78.75
4,3,1,71.32,57.69,36.43,92.95
4,3,2,65.02,65.82,38.32,97.05
4,3,3,69.07,69.23,38.32,97.05
4,3,4,64.68,63.52,37.32,96.25
