run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,0,2,86.75,0.0,0.0,0.0
0,0,3,97.13,0.0,0.0,0.0
0,0,4,99.67,0.0,0.0,0.0
0,0,5,99.67,0.0,0.0,0.0
0,0,6,99.12,0.0,0.0,0.0
0,0,7,98.57,0.0,0.0,0.0
0,0,8,98.23,0.0,0.0,0.0
0,0,9,97.46,0.0,0.0,0.0
0,1,0,58.28,89.14,0.0,0.0
0,1,1,51.32,92.19,0.0,0.0
0,1,2,53.09,98.76,0.0,0.0
0,1,3,50.55,98.98,0.0,0.0
0,1,4,50.66,99.55,0.0,0.0
0,1,5,50.11,99.55,0.0,0.0
0,1,6,51.55,99.55,0.0,0.0
0,1,7,52.98,99.77,0.0,0.0
0,1,8,53.2,99.77,0.0,0.0
0,1,9,53.2,99.66,0.0,0.0
0,2,0,54.19,91.29,49.55,0.0
0,2,1,50.66,74.55,67.69,0.0
0,2,2,48.79,82.47,80.95,0.0
0,2,3,49.12,79.86,85.71,0.0
0,2,4,48.45,78.96,86.96,0.0
0,2,5,48.79,77.94,88.44,0.0
0,2,6,49.45,77.04,89.8,0.0
0,2,7,50.0,71.72,91.84,0.0
0,2,8,50.0,72.06,91.84,0.0
0,2,9,49.78,72.74,91.95,0.0
0,3,0,51.43,83.26,69.05,76.15
0,3,1,49.34,75.0,60.66,88.13
0,3,2,47.9,75.79,65.08,92.86
0,3,3,47.9,72.4,50.34,96.37
0,3,4,48.68,68.1,58.84,97.36
0,3,5,47.9,69.0,53.17,98.13
0,3,6,48.12,69.91,53.51,97.91
0,3,7,48.23,70.7,54.2,98.02
0,3,8,48.23,71.49,54.42,98.24
0,3,9,48.34,71.27,55.33,98.35
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,88.08,0.0,0.0,0.0
1,0,4,91.56,0.0,0.0,0.0
1,0,5,94.49,0.0,0.0,0.0
1,0,6,97.64,0.0,0.0,0.0
1,0,7,97.41,0.0,0.0,0.0
1,0,8,97.75,0.0,0.0,0.0
1,0,9,97.86,0.0,0.0,0.0
1,1,0,87.4,63.49,0.0,0.0
1,1,1,84.7,68.71,0.0,0.0
1,1,2,86.95,88.89,0.0,0.0
1,1,3,86.73,89.12,0.0,0.0
1,1,4,86.73,89.34,0.0,0.0
1,1,5,86.84,89.46,0.0,0.0
1,1,6,87.18,89.23,0.0,0.0
1,1,7,87.18,89.23,0.0,0.0
1,1,8,86.95,89.23,0.0,0.0
1,1,9,87.18,89.46,0.0,0.0
1,2,0,86.05,60.43,83.68,0.0
1,2,1,84.7,69.16,99.01,0.0
1,2,2,85.26,66.67,99.56,0.0
1,2,3,85.71,63.49,99.67,0.0
1,2,4,81.21,63.61,99.78,0.0
1,2,5,82.0,64.17,99.78,0.0
1,2,6,82.23,63.83,99.78,0.0
1,2,7,82.45,64.51,99.89,0.0
1,2,8,82.56,64.29,99.89,0.0
1,2,9,82.34,62.7,99.89,0.0
1,3,0,82.9,60.88,80.82,63.72
1,3,1,76.83,59.3,72.33,78.43
1,3,2,82.34,60.66,83.13,82.85
1,3,3,81.33,62.7,74.64,89.6
1,3,4,80.88,62.36,74.97,91.81
1,3,5,80.09,60.43,75.52,94.03
1,3,6,80.43,60.43,76.41,94.03
1,3,7,80.65,62.02,78.83,94.03
1,3,8,81.33,63.04,80.49,93.81
1,3,9,81.21,63.27,82.36,93.58
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,0,2,76.14,0.0,0.0,0.0
2,0,3,88.01,0.0,0.0,0.0
2,0,4,87.57,0.0,0.0,0.0
2,0,5,88.9,0.0,0.0,0.0
2,0,6,88.46,0.0,0.0,0.0
2,0,7,87.46,0.0,0.0,0.0
2,0,8,85.79,0.0,0.0,0.0
2,0,9,85.02,0.0,0.0,0.0
2,1,0,53.16,76.64,0.0,0.0
2,1,1,85.13,80.36,0.0,0.0
2,1,2,89.01,81.49,0.0,0.0
2,1,3,89.12,82.39,0.0,0.0
2,1,4,92.34,84.65,0.0,0.0
2,1,5,92.01,84.99,0.0,0.0
2,1,6,90.9,85.67,0.0,0.0
2,1,7,90.46,86.34,0.0,0.0
2,1,8,90.12,86.57,0.0,0.0
2,1,9,87.57,88.37,0.0,0.0
2,2,0,78.25,71.9,72.77,0.0
2,2,1,68.48,58.69,95.48,0.0
2,2,2,75.25,53.84,97.06,0.0
2,2,3,84.91,63.09,97.97,0.0
2,2,4,77.91,74.94,96.61,0.0
2,2,5,80.69,69.64,98.53,0.0
2,2,6,80.36,69.53,98.53,0.0
2,2,7,84.35,70.99,98.76,0.0
2,2,8,86.02,69.86,98.87,0.0
2,2,9,85.24,71.22,98.87,0.0
2,3,0,48.06,54.29,82.03,72.31
2,3,1,67.92,71.33,66.44,86.59
2,3,2,68.04,71.56,66.33,86.59
2,3,3,62.82,70.32,72.88,94.07
2,3,4,42.95,67.16,73.22,96.26
2,3,5,70.7,69.53,66.21,97.25
2,3,6,70.37,69.53,66.33,97.25
