run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,1,0,57.17,86.09,0.0,0.0
0,1,1,47.68,96.04,0.0,0.0
0,2,0,52.54,82.58,60.43,0.0
0,2,1,52.87,83.03,60.43,0.0
0,3,0,51.66,72.74,51.81,71.65
0,3,1,52.32,66.97,56.92,85.49
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,1,0,33.52,66.21,0.0,0.0
1,1,1,15.86,71.88,0.0,0.0
1,2,0,85.49,62.81,88.75,0.0
1,2,1,62.54,49.55,99.23,0.0
1,3,0,83.01,49.32,78.28,46.79
1,3,1,78.63,63.04,61.96,57.19
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,1,0,55.94,83.97,0.0,0.0
2,1,1,70.81,84.65,0.0,0.0
2,2,0,74.81,66.14,87.68,0.0
2,2,1,76.25,55.08,89.72,0.0
2,3,0,63.6,68.62,77.18,79.12
2,3,1,42.4,65.24,73.11,89.12
3,0,0,87.58,0.0,0.0,0.0
3,0,1,86.57,0.0,0.0,0.0
3,1,0,78.1,93.27,0.0,0.0
3,1,1,70.2,99.89,0.0,0.0
3,2,0,58.58,96.36,59.86,0.0
3,2,1,56.88,95.48,76.66,0.0
3,3,0,67.95,95.92,41.38,83.04
3,3,1,66.59,93.5,52.99,92.46
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,1,0,0.79,79.89,0.0,0.0
4,1,1,49.72,92.64,0.0,0.0
4,2,0,70.19,63.63,65.01,0.0
4,2,1,68.62,67.36,68.99,0.0
4,3,0,70.08,65.16,57.7,69.2
4,3,1,72.55,71.98,38.54,90.0
