run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,82.67,0.0,0.0,0.0
0,0,1,89.07,0.0,0.0,0.0
0,0,2,93.05,0.0,0.0,0.0
0,0,3,93.27,0.0,0.0,0.0
0,0,4,93.05,0.0,0.0,0.0
0,1,0,59.16,87.67,0.0,0.0
0,1,1,58.06,92.53,0.0,0.0
0,1,2,41.17,92.65,0.0,0.0
0,1,3,77.59,87.22,0.0,0.0
0,1,4,80.91,91.52,0.0,0.0
0,2,0,87.09,81.79,55.44,0.0
0,2,1,73.73,71.95,69.27,0.0
0,2,2,87.75,78.28,84.35,0.0
0,2,3,85.54,78.17,85.15,0.0
0,2,4,84.66,79.86,86.39,0.0
0,3,0,62.69,74.21,59.75,75.05
0,3,1,59.71,59.73,63.83,84.73
0,3,2,65.23,69.57,68.82,90.77
0,3,3,61.15,68.1,70.41,91.54
0,3,4,61.48,67.87,70.98,91.54
1,0,0,49.16,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,83.8,0.0,0.0,0.0
1,0,4,96.4,0.0,0.0,0.0
1,1,0,85.71,78.12,0.0,0.0
1,1,1,86.16,78.46,0.0,0.0
1,1,2,86.39,78.68,0.0,0.0
1,1,3,65.69,87.41,0.0,0.0
1,1,4,66.93,88.1,0.0,0.0
1,2,0,87.74,71.77,95.48,0.0
1,2,1,68.95,74.38,98.57,0.0
1,2,2,70.87,36.51,99.89,0.0
1,2,3,77.5,56.12,99.78,0.0
1,2,4,78.18,58.62,99.78,0.0
1,3,0,75.48,74.6,95.37,50.88
1,3,1,77.39,74.6,96.47,73.89
1,3,2,78.4,73.47,97.02,80.42
1,3,3,63.33,70.86,86.66,77.88
1,3,4,63.89,70.63,87.1,78.32
2,0,0,57.71,0.0,0.0,0.0
2,0,1,81.02,0.0,0.0,0.0
2,0,2,81.35,0.0,0.0,0.0
2,0,3,81.35,0.0,0.0,0.0
2,0,4,81.24,0.0,0.0,0.0
2,1,0,56.16,71.9,0.0,0.0
2,1,1,67.7,82.51,0.0,0.0
2,1,2,70.03,83.3,0.0,0.0
2,1,3,67.48,86.79,0.0,0.0
2,1,4,43.06,88.26,0.0,0.0
2,2,0,65.37,63.43,80.68,0.0
2,2,1,53.39,61.74,96.38,0.0
2,2,2,53.39,67.72,98.98,0.0
2,2,3,54.83,54.29,99.32,0.0
2,2,4,55.27,54.85,99.32,0.0
2,3,0,55.49,57.0,68.14,82.42
2,3,1,56.38,57.67,73.11,86.48
2,3,2,52.83,58.13,87.34,95.05
2,3,3,52.83,58.01,86.78,94.95
2,3,4,52.83,57.9,86.78,94.95
3,0,0,69.19,0.0,0.0,0.0
3,0,1,58.01,0.0,0.0,0.0
3,0,2,54.18,0.0,0.0,0.0
3,0,3,51.13,0.0,0.0,0.0
3,0,4,61.74,0.0,0.0,0.0
3,1,0,73.25,87.76,0.0,0.0
3,1,1,74.94,96.91,0.0,0.0
3,1,2,68.17,99.78,0.0,0.0
3,1,3,48.76,99.78,0.0,0.0
3,1,4,49.1,99.78,0.0,0.0
3,2,0,59.14,95.81,69.9,0.0
3,2,1,58.58,92.28,80.72,0.0
3,2,2,51.58,88.42,91.09,0.0
3,2,3,54.74,88.75,91.54,0.0
3,2,4,58.47,88.97,91.21,0.0
3,3,0,65.69,84.79,51.97,83.48
3,3,1,57.0,82.03,41.94,92.57
3,3,2,60.05,79.05,47.24,93.9
3,3,3,59.48,78.06,46.34,96.01
3,3,4,57.0,76.96,45.89,96.9
4,0,0,57.14,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,1,0,42.41,71.98,0.0,0.0
4,1,1,81.33,91.87,0.0,0.0
4,1,2,80.99,91.87,0.0,0.0
4,1,3,80.65,92.09,0.0,0.0
4,1,4,80.2,92.86,0.0,0.0
4,2,0,55.23,74.18,54.49,0.0
4,2,1,76.04,77.36,66.78,0.0
4,2,2,77.5,68.68,80.18,0.0
4,2,3,77.62,68.9,79.84,0.0
4,2,4,81.78,50.44,78.74,0.0
4,3,0,71.43,60.0,50.28,69.89
4,3,1,76.38,63.63,56.92,91.7
4,3,2,67.83,52.09,49.61,96.36
4,3,3,70.19,54.62,52.38,97.27
4,3,4,69.85,55.16,52.6,97.27
