run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,1,0,57.17,86.09,0.0,0.0
0,1,1,50.44,95.59,0.0,0.0
0,2,0,54.75,81.22,65.08,0.0
0,2,1,52.21,83.6,75.62,0.0
0,3,0,50.66,65.16,49.55,82.09
0,3,1,49.01,56.33,60.32,93.3
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,1,0,33.52,66.21,0.0,0.0
1,1,1,86.16,84.69,0.0,0.0
1,2,0,80.88,65.65,96.8,0.0
1,2,1,72.22,54.76,99.23,0.0
1,3,0,76.83,62.02,93.94,60.51
1,3,1,78.97,59.64,95.15,64.05
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,1,0,55.94,83.97,0.0,0.0
2,1,1,84.46,81.72,0.0,0.0
2,2,0,64.15,59.14,75.14,0.0
2,2,1,74.47,69.75,89.15,0.0
2,3,0,78.47,67.95,86.33,51.76
2,3,1,69.7,57.11,77.74,90.88
3,0,0,87.58,0.0,0.0,0.0
3,0,1,86.57,0.0,0.0,0.0
3,1,0,78.1,93.27,0.0,0.0
3,1,1,74.83,99.89,0.0,0.0
3,2,0,67.72,96.14,69.56,0.0
3,2,1,48.19,93.05,79.71,0.0
3,3,0,70.2,97.24,47.35,80.38
3,3,1,61.29,68.69,31.45,97.23
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,1,0,0.79,79.89,0.0,0.0
4,1,1,49.16,93.08,0.0,0.0
4,2,0,65.69,69.67,60.8,0.0
4,2,1,73.34,59.89,76.63,0.0
4,3,0,73.23,68.02,66.56,69.77
4,3,1,57.37,65.16,46.29,89.09
