task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,84.27,0.0,0.0,0.0,84.27,84.27
0,1,94.23,0.0,0.0,0.0,94.23,94.23
0,2,96.96,0.0,0.0,0.0,96.96,96.96
1,0,85.69,79.89,0.0,0.0,82.79,79.89
1,1,82.96,91.29,0.0,0.0,87.12,91.29
1,2,83.32,96.24,0.0,0.0,89.78,96.24
2,0,77.75,66.82,78.56,0.0,74.38,78.56
2,1,74.54,57.05,90.94,0.0,74.18,90.94
2,2,74.95,52.34,94.3,0.0,73.86,94.3
3,0,64.99,41.06,70.67,82.55,64.82,82.55
3,1,68.4,42.7,69.66,92.45,68.3,92.45
3,2,71.18,46.77,72.25,92.21,70.6,92.21
