task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,84.27,0.0,0.0,0.0,84.27,84.27
0,1,94.23,0.0,0.0,0.0,94.23,94.23
0,2,96.96,0.0,0.0,0.0,96.96,96.96
1,0,85.67,82.65,0.0,0.0,84.16,82.65
1,1,88.04,88.84,0.0,0.0,88.44,88.84
1,2,87.79,90.05,0.0,0.0,88.92,90.05
2,0,79.16,81.74,87.56,0.0,82.82,87.56
2,1,80.61,85.99,90.04,0.0,85.55,90.04
2,2,79.46,79.4,91.19,0.0,83.35,91.19
3,0,75.38,73.16,74.43,81.74,76.18,81.74
3,1,81.11,67.28,76.78,93.68,79.71,93.68
3,2,77.75,66.81,73.55,95.69,78.45,95.69
