task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.73,0.0,0.0,0.0,81.73,81.73
0,1,92.91,0.0,0.0,0.0,92.91,92.91
0,2,93.47,0.0,0.0,0.0,93.47,93.47
1,0,75.64,87.82,0.0,0.0,81.73,87.82
1,1,64.37,93.36,0.0,0.0,78.87,93.36
1,2,65.13,96.3,0.0,0.0,80.72,96.3
2,0,50.89,66.69,78.22,0.0,65.27,78.22
2,1,50.83,66.23,89.47,0.0,68.84,89.47
2,2,51.69,66.96,90.74,0.0,69.8,90.74
3,0,43.25,50.37,59.34,78.17,57.78,78.17
3,1,47.89,41.0,54.31,91.17,58.59,91.17
3,2,43.06,43.94,59.51,97.9,61.1,97.9
