task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.73,0.0,0.0,0.0,81.73,81.73
0,1,92.91,0.0,0.0,0.0,92.91,92.91
0,2,93.47,0.0,0.0,0.0,93.47,93.47
1,0,72.6,89.73,0.0,0.0,81.16,89.73
1,1,65.77,92.71,0.0,0.0,79.24,92.71
1,2,67.47,93.53,0.0,0.0,80.5,93.53
2,0,59.87,80.09,70.63,0.0,70.2,70.63
2,1,59.26,68.03,93.48,0.0,73.59,93.48
2,2,59.69,74.51,95.27,0.0,76.49,95.27
3,0,53.06,61.98,70.63,79.82,66.37,79.82
3,1,70.1,67.43,70.6,94.37,75.62,94.37
3,2,65.8,61.24,76.29,95.74,74.77,95.74
