task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,84.27,0.0,0.0,0.0,84.27,84.27
0,1,95.42,0.0,0.0,0.0,95.42,95.42
0,2,96.59,0.0,0.0,0.0,96.59,96.59
1,0,86.83,78.64,0.0,0.0,82.74,78.64
1,1,84.53,92.86,0.0,0.0,88.7,92.86
1,2,79.37,93.88,0.0,0.0,86.62,93.88
2,0,82.07,59.12,78.23,0.0,73.14,78.23
2,1,80.68,60.4,93.01,0.0,78.03,93.01
2,2,83.34,55.63,94.29,0.0,77.75,94.29
3,0,79.41,33.88,65.21,76.07,63.64,76.07
3,1,79.32,42.0,66.56,89.63,69.38,89.63
3,2,77.03,49.33,67.05,94.07,71.87,94.07
