task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
60.23199999999999,0.0,0.0,0.0,0,1,15.057999999999998,60.23199999999999,2.6680000000000064
74.166,0.0,0.0,0.0,0,2,18.5415,74.166,-11.265999999999998
82.674,0.0,0.0,0.0,0,3,20.6685,82.674,-8.50800000000001
82.81,0.0,0.0,0.0,0,4,20.7025,82.81,-0.13599999999999568
92.59,0.0,0.0,0.0,0,5,23.1475,92.59,-9.780000000000001
94.598,0.0,0.0,0.0,0,6,23.6495,94.598,-2.0079999999999956
95.994,0.0,0.0,0.0,0,7,23.9985,95.994,-1.3960000000000008
96.016,0.0,0.0,0.0,0,8,24.004,96.016,-0.02200000000000557
96.264,0.0,0.0,0.0,0,9,24.066,96.264,-0.24799999999999045
79.94800000000001,75.298,0.0,0.0,1,0,38.8115,77.623,16.31599999999999
70.014,85.364,0.0,0.0,1,1,38.8445,77.689,8.091999999999999
69.69399999999999,86.64200000000001,0.0,0.0,1,2,39.084,78.168,12.646
70.53,88.59,0.0,0.0,1,3,39.78,79.56,11.893
72.328,89.494,0.0,0.0,1,4,40.4555,80.911,11.515999999999998
71.43199999999999,91.8,0.0,0.0,1,5,40.80799999999999,81.61599999999999,11.263000000000005
72.018,91.89000000000001,0.0,0.0,1,6,40.977000000000004,81.95400000000001,12.077999999999989
73.032,93.02000000000001,0.0,0.0,1,7,41.513000000000005,83.02600000000001,11.051000000000002
73.842,93.02000000000001,0.0,0.0,1,8,41.715500000000006,83.43100000000001,11.210999999999999
77.098,92.74600000000001,0.0,0.0,1,9,42.461,84.922,9.719999999999999
66.136,74.138,73.774,0.0,2,0,53.512,71.34933333333333,24.505000000000003
63.013999999999996,73.30199999999999,78.574,0.0,2,1,53.7225,71.63,16.056000000000008
68.788,72.55,83.136,0.0,2,2,56.1185,74.82466666666666,14.461333333333338
69.412,73.328,85.384,0.0,2,3,57.031000000000006,76.04133333333334,14.76533333333333
69.81800000000001,72.526,86.12,0.0,2,4,57.116,76.15466666666667,15.401333333333332
68.57000000000001,73.688,88.07,0.0,2,5,57.582,76.776,15.025333333333336
69.99600000000001,75.30600000000001,89.764,0.0,2,6,58.76650000000001,78.35533333333335,14.095999999999995
66.756,73.872,88.97,0.0,2,7,57.399499999999996,76.53266666666666,16.483333333333334
66.752,73.33000000000001,91.49600000000001,0.0,2,8,57.8945,77.19266666666667,15.823333333333329
70.32000000000001,74.58,92.09200000000001,0.0,2,9,59.248000000000005,78.99733333333334,14.595999999999998
66.09400000000001,70.326,76.608,74.022,3,0,71.7625,71.7625,22.78266666666667
66.16,71.898,73.27000000000001,86.582,3,1,74.47749999999999,74.47749999999999,14.372000000000007
64.714,74.83200000000001,75.44399999999999,86.916,3,2,75.47649999999999,75.47649999999999,16.513000000000005
64.804,74.91999999999999,74.502,88.114,3,3,75.58500000000001,75.58500000000001,16.488000000000007
65.05600000000001,73.42999999999999,75.856,89.106,3,4,75.862,75.862,16.510500000000008
64.56,68.39399999999999,72.048,91.14,3,5,74.0355,74.0355,18.585000000000004
63.708000000000006,66.422,75.29400000000001,91.328,3,6,74.188,74.188,18.941
64.154,66.966,74.994,91.526,3,7,74.41,74.41,18.76600000000001
63.79,67.71000000000001,74.084,91.482,3,8,74.26650000000001,74.26650000000001,18.959
65.36,69.86800000000001,76.69800000000001,92.21000000000001,3,9,76.034,76.034,17.191499999999998
