task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
63.17,0.0,0.0,0.0,0,0,63.17,63.17
77.52,0.0,0.0,0.0,0,1,77.52,77.52
82.94,0.0,0.0,0.0,0,2,82.94,82.94
91.78,0.0,0.0,0.0,0,3,91.78,91.78
92.49,0.0,0.0,0.0,0,4,92.49,92.49
74.28,79.43,0.0,0.0,1,0,76.86,79.43
63.65,88.67,0.0,0.0,1,1,76.16,88.67
65.13,88.23,0.0,0.0,1,2,76.68,88.23
65.92,91.12,0.0,0.0,1,3,78.52,91.12
66.87,91.03,0.0,0.0,1,4,78.95,91.03
72.23,75.02,72.81,0.0,2,0,73.35,72.81
73.52,73.32,82.76,0.0,2,1,76.53,82.76
73.08,71.35,82.47,0.0,2,2,75.63,82.47
75.31,71.63,85.3,0.0,2,3,77.41,85.3
75.76,69.63,86.53,0.0,2,4,77.31,86.53
68.4,71.65,62.94,75.22,3,0,69.55,75.22
66.46,72.44,66.71,85.13,3,1,72.68,85.13
66.43,70.79,65.66,85.18,3,2,72.02,85.18
66.12,68.23,66.35,91.37,3,3,73.02,91.37
67.49,68.62,67.65,91.37,3,4,73.78,91.37
