task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,94.57,0.0,0.0,0.0,94.57,94.57
0,2,95.87,0.0,0.0,0.0,95.87,95.87
1,0,73.05,78.89,0.0,0.0,75.97,78.89
1,1,78.56,80.37,0.0,0.0,79.46,80.37
1,2,79.91,93.24,0.0,0.0,86.57,93.24
2,0,60.37,70.44,83.18,0.0,71.33,83.18
2,1,67.32,70.46,86.71,0.0,74.83,86.71
2,2,65.43,66.83,91.53,0.0,74.6,91.53
3,0,59.27,49.84,59.16,77.41,61.42,77.41
3,1,43.62,42.41,59.91,87.4,58.34,87.4
3,2,44.22,43.77,62.97,88.06,59.76,88.06
